Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Hammons,C,hammoaj01,24.0,17.0,77.0,9.7,0.455,0.273,0.455,7.2,24.0,15.2,4.1,0.0,7.0,10.2,18.1,-0.1,0.1,0.0,0.015,-6.7,1.1,-5.6,-0.1
Aaron Brooks,PG,brookaa01,32.0,46.0,660.0,10.3,0.505,0.447,0.128,2.4,6.4,4.4,22.5,1.7,1.0,17.3,19.6,-0.2,0.4,0.2,0.016,-1.7,-2.4,-4.0,-0.3
Aaron Gordon,SF,gordoaa01,21.0,56.0,1548.0,12.5,0.503,0.342,0.244,5.1,13.4,9.1,11.2,1.3,1.3,9.1,19.6,0.5,1.2,1.6,0.051,-1.0,-0.4,-1.4,0.2
Aaron Harrison,SG,harriaa01,22.0,5.0,17.0,-2.1,0.102,0.5,0.5,0.0,18.9,9.5,22.7,0.0,0.0,0.0,12.8,-0.1,0.0,0.0,-0.137,-9.5,-1.7,-11.2,0.0
Adreian Payne,PF,paynead01,25.0,12.0,92.0,14.3,0.526,0.256,0.385,7.4,18.0,12.6,7.0,2.8,3.7,13.3,25.4,0.0,0.1,0.2,0.079,-2.4,-0.5,-2.9,0.0
Al Horford,C,horfoal01,30.0,45.0,1481.0,17.6,0.541,0.342,0.155,4.6,17.9,11.2,23.7,1.1,3.8,11.3,20.6,2.2,1.6,3.8,0.125,1.1,1.8,2.8,1.8
Al Jefferson,C,jeffeal01,32.0,57.0,832.0,19.4,0.534,0.002,0.188,9.2,23.4,16.4,11.2,1.0,1.6,5.8,26.0,1.3,0.9,2.2,0.125,-1.0,-1.5,-2.5,-0.1
Al-Farouq Aminu,SF,aminual01,26.0,37.0,1075.0,10.5,0.476,0.466,0.228,4.3,24.0,14.0,10.1,1.7,1.8,14.8,15.5,-0.4,1.0,0.7,0.03,-2.7,1.2,-1.6,0.1
Alan Anderson,SF,anderal01,34.0,23.0,266.0,4.6,0.472,0.557,0.171,1.3,8.1,4.8,5.7,0.6,0.0,8.5,13.8,-0.1,0.1,0.1,0.009,-3.0,-2.1,-5.1,-0.2
Alan Williams,PF,willial03,24.0,23.0,164.0,19.5,0.545,0.0,0.455,20.2,30.0,24.9,1.9,2.1,7.0,16.5,20.3,0.2,0.3,0.4,0.13,-3.4,0.5,-2.9,0.0
Alec Burks,SG,burksal01,25.0,21.0,319.0,12.4,0.535,0.316,0.376,1.9,11.9,7.0,6.9,2.0,0.8,11.7,22.7,0.0,0.5,0.5,0.075,-2.4,-0.6,-3.0,-0.1
Alex Abrines,SG,abrinal01,23.0,46.0,643.0,9.9,0.566,0.716,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16.0,0.7,0.5,1.2,0.091,-0.6,-2.5,-3.1,-0.2
Alex Len,C,lenal01,23.0,54.0,1061.0,14.6,0.556,0.013,0.436,10.4,26.1,18.0,4.3,0.9,5.3,16.4,17.4,0.8,1.1,1.9,0.087,-3.4,1.2,-2.1,0.0
Alexis Ajinca,C,ajincal01,28.0,23.0,350.0,11.0,0.497,0.031,0.247,7.7,23.7,15.6,3.0,1.7,4.0,16.3,16.3,-0.2,0.6,0.4,0.049,-6.4,1.6,-4.8,-0.2
Allen Crabbe,SG,crabbal01,24.0,56.0,1594.0,10.6,0.591,0.443,0.213,1.0,9.8,5.3,6.5,1.0,0.5,9.0,14.9,1.8,0.4,2.2,0.066,-0.3,-1.8,-2.0,0.0
Alonzo Gee,SF,geeal01,29.0,13.0,89.0,3.0,0.306,0.214,0.643,5.0,12.6,8.8,8.4,2.8,0.9,18.2,10.4,-0.1,0.1,-0.1,-0.037,-5.3,0.9,-4.5,-0.1
Amir Johnson,PF,johnsam01,29.0,56.0,1104.0,15.3,0.623,0.169,0.265,9.1,16.9,13.0,12.9,1.4,2.8,14.4,13.7,2.3,1.2,3.5,0.151,0.3,1.7,2.0,1.1
Anderson Varejao,C,varejan01,34.0,14.0,92.0,9.4,0.478,0.0,0.786,15.5,16.7,16.1,12.8,1.6,2.6,29.8,12.6,0.0,0.1,0.2,0.098,-3.0,2.5,-0.5,0.0
Andre Drummond,C,drumman01,23.0,56.0,1705.0,21.4,0.525,0.009,0.366,14.6,36.2,25.2,5.6,2.9,3.3,13.0,23.5,0.9,3.9,4.8,0.136,-2.1,3.1,1.0,1.3
Andre Iguodala,SF,iguodan01,33.0,54.0,1381.0,12.9,0.595,0.455,0.205,3.2,12.8,8.4,16.4,1.7,1.2,11.2,10.3,2.5,1.8,4.3,0.15,1.0,1.5,2.5,1.6
Andre Roberson,SF,roberan03,25.0,57.0,1745.0,9.0,0.487,0.417,0.247,4.2,14.3,9.3,4.4,1.9,2.6,9.0,10.3,0.4,2.2,2.6,0.071,-2.7,2.0,-0.7,0.6
Andrew Bogut,C,bogutan01,32.0,26.0,582.0,9.4,0.46,0.012,0.136,10.5,34.3,21.8,12.3,1.2,3.9,33.4,10.5,-0.3,1.0,0.7,0.054,-5.6,5.3,-0.3,0.2
Andrew Harrison,SG,harrian01,22.0,53.0,1162.0,8.5,0.469,0.436,0.546,1.8,8.3,5.0,20.2,2.0,1.5,15.9,16.2,0.0,1.4,1.3,0.056,-2.5,0.4,-2.1,0.0
Andrew Nicholson,PF,nichoan01,27.0,28.0,231.0,6.4,0.425,0.208,0.156,5.5,11.1,8.3,4.2,2.4,2.2,11.8,17.8,-0.3,0.3,0.0,-0.005,-5.5,-0.1,-5.6,-0.2
Andrew Wiggins,SF,wiggian01,21.0,57.0,2120.0,17.0,0.544,0.192,0.342,3.9,9.2,6.5,11.6,1.2,0.9,9.7,28.2,2.7,0.8,3.4,0.078,0.6,-2.7,-2.0,0.0
Anthony Bennett,PF,bennean01,23.0,23.0,264.0,14.7,0.533,0.522,0.391,10.1,21.0,15.6,7.1,0.9,0.9,10.0,19.4,0.3,0.2,0.5,0.083,-0.8,-2.4,-3.2,-0.1
Anthony Brown,SF,brownan02,24.0,7.33333333333,106.0,10.6,0.448333333333,0.486,0.0,7.7,22.3333333333,14.8666666667,12.3333333333,1.06666666667,0.366666666667,10.5333333333,19.2,-0.133333333333,0.133333333333,0.0,0.0246666666667,-2.36666666667,-0.733333333333,-3.06666666667,-0.0666666666667
Anthony Davis,C,davisan02,23.0,53.0,1927.0,27.3,0.578,0.08,0.428,6.5,28.3,17.3,11.7,1.7,5.5,9.9,32.5,3.8,3.7,7.6,0.188,1.1,2.6,3.7,2.7
Anthony Morrow,SG,morroan01,31.0,40.0,627.0,9.1,0.493,0.536,0.117,1.9,3.2,2.6,4.5,1.6,0.3,2.9,16.3,0.4,0.4,0.8,0.064,-1.8,-3.0,-4.8,-0.4
Anthony Tolliver,PF,tollian01,31.0,45.0,1042.0,11.4,0.606,0.667,0.218,5.0,14.0,9.5,6.2,1.4,0.9,12.5,13.2,1.2,0.6,1.8,0.083,0.4,-1.0,-0.6,0.4
Archie Goodwin,SG,goodwar01,22.0,3.0,30.0,19.7,0.798,0.4,2.0,0.0,0.0,0.0,4.6,0.0,2.7,0.0,13.9,0.2,0.0,0.2,0.291,2.2,-4.0,-1.7,0.0
