Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url
2015-16,Aaron Brooks,PG,brookaa01,31,69,1108,11.8,0.494,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.4,http://www.basketball-reference.com/players/b/brookaa01.html
2015-16,Aaron Gordon,PF,gordoaa01,20,78,1863,17,0.541,0.245,0.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8,http://www.basketball-reference.com/players/g/gordoaa01.html
2015-16,Aaron Harrison,SG,harriaa01,21,21,93,4.3,0.371,0.526,0.632,4.7,13.1,8.8,3,3.2,0,14.1,13.7,-0.2,0.1,0,-0.014,-5.6,0.1,-5.5,-0.1,http://www.basketball-reference.com/players/h/harriaa01.html
2015-16,Adreian Payne,PF,paynead01,24,52,486,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-6.1,-0.5,http://www.basketball-reference.com/players/p/paynead01.html
2015-16,Al Horford,C,horfoal01,29,82,2631,19.4,0.565,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,1.5,2.6,4.1,4.1,http://www.basketball-reference.com/players/h/horfoal01.html
2015-16,Al Jefferson,C,jeffeal01,31,47,1096,18.2,0.507,0,0.22,5.6,24.6,15,11.8,1.4,3,5.8,24.2,1,1.8,2.8,0.123,-2.3,1.2,-1.1,0.2,http://www.basketball-reference.com/players/j/jeffeal01.html
2015-16,Al-Farouq Aminu,SF,aminual01,25,82,2341,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4,0.082,-0.4,0.7,0.2,1.3,http://www.basketball-reference.com/players/a/aminual01.html
2015-16,Alan Anderson,SG,anderal01,33,13,192,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1,0.4,3,15.4,0.2,0.2,0.3,0.078,-1.2,-1.7,-2.8,0,http://www.basketball-reference.com/players/a/anderal01.html
2015-16,Alan Williams,PF,willial03,23,10,68,21.1,0.481,0,0.583,21.9,39.2,30.3,11.7,2.9,6,16.6,22.6,0.1,0.2,0.2,0.146,-2.5,4,1.5,0.1,http://www.basketball-reference.com/players/w/willial03.html
2015-16,Alec Burks,SG,burksal01,24,31,797,14.3,0.52,0.237,0.422,2.4,13.6,8,13.9,1.2,0.4,11.4,25.9,0.7,0.8,1.5,0.09,-0.9,-1.6,-2.5,-0.1,http://www.basketball-reference.com/players/b/burksal01.html
2015-16,Alex Len,C,lenal01,22,78,1821,12.4,0.482,0.011,0.383,10.4,25.4,17.7,8.5,1,2.8,16.6,20.4,-0.5,1.8,1.3,0.035,-4.4,0.7,-3.6,-0.7,http://www.basketball-reference.com/players/l/lenal01.html
2015-16,Alex Stepheson,PF,stephal01,28,5.333333333,48.66666667,13.23333333,0.400666667,0,0.943,23.33333333,13,18.4,3.166666667,0.5,7.9,0,16.43333333,0,0.066666667,0.066666667,0.08,-2.666666667,0.366666667,-2.333333333,0,http://www.basketball-reference.com/players/s/stephal01.html
2015-16,Alexis Ajinca,C,ajincal01,27,59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1,0.058,-4.3,-0.2,-4.5,-0.5,http://www.basketball-reference.com/players/a/ajincal01.html
2015-16,Allen Crabbe,SG,crabbal01,23,81,2105,12.2,0.572,0.42,0.167,1.4,9.7,5.6,7.2,1.5,0.6,8.1,16.4,3.1,1.2,4.3,0.098,0.4,-1.1,-0.7,0.7,http://www.basketball-reference.com/players/c/crabbal01.html
2015-16,Alonzo Gee,SF,geeal01,28,73,1632,8.4,0.572,0.235,0.259,3.9,13,8.3,6.2,1.9,0.7,16.2,9.2,1,0.9,1.9,0.056,-1.8,1,-0.8,0.5,http://www.basketball-reference.com/players/g/geeal01.html
2015-16,Amar'e Stoudemire,C,stoudam01,33,52,762,17.3,0.599,0,0.303,10,22.6,16.5,5.6,1.2,4.1,15.8,17.8,1.1,1.3,2.4,0.15,-1.7,1.4,-0.4,0.3,http://www.basketball-reference.com/players/s/stoudam01.html
2015-16,Amir Johnson,PF,johnsam01,28,79,1800,16,0.602,0.101,0.284,10.3,19.6,14.9,11.4,1.4,3.6,16.4,13.6,3,2.9,5.9,0.158,-0.2,3.2,3,2.3,http://www.basketball-reference.com/players/j/johnsam01.html
2015-16,Anderson Varejao,C,varejan01,33,35.33333333,330.6666667,11.1,0.473,0.007,0.427666667,8.433333333,22.43333333,15.63333333,9.866666667,1.566666667,1.633333333,12.63333333,15.1,0.2,0.533333333,0.7,0.103333333,-3.733333333,1.333333333,-2.4,0,http://www.basketball-reference.com/players/v/varejan01.html
2015-16,Andre Drummond,C,drumman01,22,81,2666,21.2,0.499,0.006,0.553,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,2,5.5,7.4,0.133,-2.1,1.6,-0.5,1,http://www.basketball-reference.com/players/d/drumman01.html
2015-16,Andre Iguodala,SF,iguodan01,32,65,1732,12.2,0.565,0.418,0.226,3.4,12.4,8.2,16.3,2,0.8,16.3,12.1,2.3,2.1,4.4,0.122,0.3,1.3,1.6,1.6,http://www.basketball-reference.com/players/i/iguodan01.html
2015-16,Andre Miller,PG,millean02,39,26,307.3333333,13.33333333,0.594666667,0.075666667,0.300333333,3.166666667,9.9,6.633333333,27.6,1.8,0,23.1,15.53333333,0.4,0.266666667,0.633333333,0.102,-1.133333333,-1.5,-2.633333333,-0.066666667,http://www.basketball-reference.com/players/m/millean02.html
2015-16,Andre Roberson,SG,roberan03,24,70,1553,10.2,0.566,0.376,0.197,5.9,11.4,8.8,4,1.7,2,10.5,9.1,1.8,1.6,3.4,0.105,0,1.3,1.4,1.3,http://www.basketball-reference.com/players/r/roberan03.html
2015-16,Andrea Bargnani,C,bargnan01,30,46,634,11.8,0.5,0.057,0.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,0.1,0,0.2,0.013,-3.7,-4.2,-7.9,-0.9,http://www.basketball-reference.com/players/b/bargnan01.html
2015-16,Andrew Bogut,C,bogutan01,31,70,1451,15.9,0.623,0.004,0.179,9.5,26,18.3,14.8,1.1,5.8,21.6,11.4,2.6,2.9,5.4,0.18,-0.6,5.1,4.5,2.4,http://www.basketball-reference.com/players/b/bogutan01.html
2015-16,Andrew Goudelock,PG,goudean01,27,8,50,12.4,0.506,0.45,0.2,2.2,2.2,2.2,13.3,5.9,3.3,24.3,24.8,-0.1,0.1,0,-0.033,-4.1,0.6,-3.6,0,http://www.basketball-reference.com/players/g/goudean01.html
2015-16,Andrew Nicholson,PF,nichoan01,26,56,823,14.8,0.567,0.368,0.21,4.5,22.8,13.5,4.8,0.6,2.2,10.8,20.4,0.8,0.8,1.6,0.092,-1.7,-2,-3.7,-0.4,http://www.basketball-reference.com/players/n/nichoan01.html
2015-16,Andrew Wiggins,SF,wiggian01,20,81,2845,16.5,0.543,0.147,0.437,4.4,7.5,6,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.4,-2.5,-2.1,-0.1,http://www.basketball-reference.com/players/w/wiggian01.html
2015-16,Anthony Bennett,PF,bennean01,22,19,84,10.4,0.446,0.519,0.37,8.3,22.8,15.7,0,3.1,0,11.3,19.2,0,0.1,0.1,0.054,-4.8,-4.6,-9.4,-0.2,http://www.basketball-reference.com/players/b/bennean01.html
2015-16,Anthony Brown,SF,brownan02,23,29,599,4.9,0.427,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10,11,-0.4,0.1,-0.3,-0.024,-4,-1.1,-5,-0.5,http://www.basketball-reference.com/players/b/brownan02.html
2015-16,Anthony Davis,C,davisan02,22,61,2164,25,0.559,0.095,0.379,6.4,26.4,16.1,10,1.8,4.7,8.4,29.6,4.4,2.8,7.2,0.16,1,1.2,2.2,2.3,http://www.basketball-reference.com/players/d/davisan02.html
2015-16,Anthony Morrow,SG,morroan01,30,68,926,10.7,0.543,0.613,0.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,1.4,0.5,1.9,0.097,0.5,-3.2,-2.7,-0.2,http://www.basketball-reference.com/players/m/morroan01.html
2015-16,Anthony Tolliver,PF,tollian01,30,72,1341,10.2,0.543,0.819,0.142,3.1,16.1,9.3,5.6,1,0.9,7.4,12.4,1.5,1.3,2.8,0.1,0,0,0,0.7,http://www.basketball-reference.com/players/t/tollian01.html
2015-16,Archie Goodwin,PG,goodwar01,21,57,1114,11.1,0.498,0.235,0.457,2.6,11.5,6.9,17.2,1.2,1,16.5,23.2,-0.4,0.5,0.1,0.004,-2.9,-1.7,-4.6,-0.7,http://www.basketball-reference.com/players/g/goodwar01.html
2015-16,Aron Baynes,C,baynear01,29,81,1233,17.8,0.563,0.005,0.43,11.9,22.5,17,6.6,0.9,3.2,12.8,18.5,2.4,1.7,4.1,0.158,-1.3,1.1,-0.2,0.6,http://www.basketball-reference.com/players/b/baynear01.html
2015-16,Arron Afflalo,SG,afflaar01,30,71,2371,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2,http://www.basketball-reference.com/players/a/afflaar01.html
2015-16,Austin Rivers,SG,riverau01,23,67,1464,11.1,0.523,0.359,0.225,1.7,7.9,4.8,10.6,1.6,0.5,9.7,19.4,0.6,1.3,1.9,0.063,-1.2,-1,-2.2,-0.1,http://www.basketball-reference.com/players/r/riverau01.html
2015-16,Avery Bradley,SG,bradlav01,25,76,2536,13.2,0.538,0.399,0.121,2,7.3,4.6,9.8,2.2,0.6,9.2,19.8,2,2.8,4.8,0.09,0.5,-0.3,0.2,1.4,http://www.basketball-reference.com/players/b/bradlav01.html
