Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2014-15,A.J. Price,PG,priceaj01,28,13,162,8.8,0.37675,0.4195,0.13825,2.175,9.375,5.8,22.4,1,0,8.1,20.8,-6.94E-18,0.125,0.15,-0.00675,-2.575,-3.075,-5.6,-0.05,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,5,44,0.214,20.4,0.5,0,0,0.143,0.357,0.5,0.429,0,0,0.5,0.4,0,0,0,0,0,0.429,0,0,0
2014-15,Aaron Brooks,PG,brookaa01,30,82,1885,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,1,-2.4,-1.4,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,82,1885,0.421,13.9,0.617,0.262,0.176,0.097,0.072,0.383,0.442,0.523,0.389,0.43,0.305,0.387,0.126,0,0,0.612,0.112,0.314,2,0
2014-15,Aaron Gordon,PF,gordoaa01,19,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-2.8,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,47,797,0.447,9.5,0.769,0.462,0.149,0.096,0.063,0.231,0.5,0.635,0.419,0.1,0.308,0.271,0.488,0.125,22,0.923,0.542,0.346,1,0
2014-15,Adreian Payne,PF,paynead01,23,21.33333333,492.6666667,6.133333333,0.402666667,0.074,0.234,6.866666667,17.96666667,12.33333333,4.333333333,1.766666667,0.666666667,10.46666667,17.63333333,-0.433333333,0.133333333,-0.333333333,-0.035,-6.166666667,-2.333333333,-8.5,-0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html,29,720,0.418,10.6,0.962,0.258,0.249,0.15,0.305,0.038,0.429,0.527,0.415,0.344,0.4,0.125,0.625,0.099,16,1,0.125,0,0,0
2014-15,Al Horford,C,horfoal01,28,76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,76,2318,0.538,10.6,0.963,0.286,0.213,0.111,0.352,0.037,0.547,0.75,0.408,0.458,0.494,0.306,0.789,0.088,81,0.909,0.806,0.379,0,0
2014-15,Al Jefferson,C,jeffeal01,30,65,1992,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,-1.3,1.6,0.2,1.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,65,1992,0.481,8.2,0.995,0.282,0.362,0.218,0.132,0.005,0.482,0.639,0.445,0.391,0.391,0.4,0.597,0.015,15,0.5,0.2,1,0,0
2014-15,Al-Farouq Aminu,SF,aminual01,24,74,1366,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2,3.3,0.115,-0.5,2.9,2.4,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,74,1366,0.412,11.4,0.653,0.406,0.14,0.036,0.07,0.347,0.485,0.628,0.24,0.538,0.12,0.274,0.673,0.132,42,1,0.5,0.306,0,0
2014-15,Alan Anderson,SG,anderal01,32,74,1744,10.6,0.563,0.477,0.23,2,11.1,6.6,7.2,1.7,0.2,11,14.2,1.7,1.1,2.7,0.075,0,-0.5,-0.5,0.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,74,1744,0.443,16.1,0.523,0.23,0.111,0.095,0.086,0.477,0.53,0.683,0.449,0.452,0.289,0.348,0.541,0.025,10,0.822,0.362,0.434,5,0
2014-15,Alec Burks,SG,burksal01,23,27,899,13,0.524,0.227,0.43,2.5,12.1,7.3,15.2,1,0.4,12.7,20.8,1.1,0.6,1.7,0.089,-0.4,-1.1,-1.6,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,27,899,0.403,12.8,0.773,0.277,0.19,0.083,0.223,0.227,0.409,0.506,0.333,0.28,0.403,0.382,0.316,0.033,9,0.769,0.25,0.471,2,0
2014-15,Alex Kirk,C,kirkal01,23,5,14,8.5,0.41,0,0.5,8.3,0,4.1,10.1,0,0,0,15.7,0,0,0,0.061,-3,-4.3,-7.4,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kirkal01.html,5,14,0.25,9.8,1,0.5,0,0,0.5,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2014-15,Alex Len,C,lenal01,21,69,1518,13.5,0.542,0.008,0.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,1.2,2.1,3.4,0.107,-3.3,2.3,-1,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,69,1518,0.507,6.2,0.992,0.544,0.164,0.167,0.116,0.008,0.509,0.677,0.293,0.288,0.341,0.333,0.663,0.204,66,1,0.333,1,0,0
2014-15,Alexey Shved,SG,shvedal01,26,21,383.5,17.325,0.53325,0.435,0.44925,2.95,9.875,6.3,22.375,1.8,0.475,11.55,26,0.825,0.225,1.075,0.11075,1.6,-3.175,-1.55,0.225,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html,16,423,0.403,12.7,0.613,0.348,0.122,0.05,0.061,0.387,0.423,0.587,0.182,0,0.273,0.371,0.319,0.006,1,0.654,0.043,0,1,0
2014-15,Alexis Ajinca,C,ajincal01,26,68,957,19.9,0.595,0,0.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,68,957,0.55,7.2,1,0.34,0.353,0.198,0.106,0,0.55,0.616,0.552,0.508,0.429,0,0.613,0.088,28,0,0,0,0,0
