first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
D.Lillard,C.McCollum,M.Plumlee,E.Turner,N.Vonleh,POR,11,118,99.4,99.4,0,56,1.56,16.8,28.1,79.2,52.1,0.1,48.9,50.5,98.93,50
C.Joseph,K.Lowry,L.Nogueira,P.Patterson,T.Ross,TOR,30,199,119.1,104.8,14.3,52.9,1.7,17.2,29.2,74.1,50.8,0.1,57.7,60,92.89,54.7
D.Jordan,L.Mbah a Moute,C.Paul,J.Redick,A.Rivers,LAC,7,82,111.4,92.2,19.2,61.4,2.15,18.5,25.3,85.5,54.1,0.1,51.6,55.4,102.18,60.8
J.Johnson,T.Johnson,R.McGruder,D.Waiters,H.Whiteside,MIA,18,54,96,113.4,-17.4,60,1.09,16.7,28.2,74.5,54.4,0.2,51.2,53.4,94.04,46.5
K.Irving,L.James,K.Love,J.Smith,T.Thompson,CLE,18,300,113.7,104.4,9.3,62.4,1.98,19.2,23.6,72.7,49.3,0.1,56,58.9,100.72,54.7
K.Irving,L.James,K.Love,I.Shumpert,T.Thompson,CLE,26,196,108.8,104.6,4.1,53.3,1.42,16,29.1,77.6,54.4,0.2,52.5,55.7,100.72,51.8
K.Irving,L.James,D.Liggins,K.Love,T.Thompson,CLE,12,181,126.2,97.9,28.3,58,1.87,19.1,30.6,81.4,57.6,0.1,61.7,64.6,99.78,63.9
K.Irving,L.James,R.Jefferson,I.Shumpert,T.Thompson,CLE,10,69,113.2,89.7,23.5,42.9,1.6,13.5,20.9,88.2,54.8,0.1,53.3,57,100.31,58.6
B.Ingram,T.Mozgov,J.Randle,D.Russell,N.Young,LAL,16,62,99.2,127.9,-28.8,73.9,1.7,19.6,17.5,80.4,44,0.2,51,53.3,99.21,34.1
M.Harkless,D.Lillard,C.McCollum,M.Plumlee,N.Vonleh,POR,8,63,102.1,124.4,-22.3,49.1,2,15.7,29.5,76.6,50,0.1,47.5,49,94.26,37.6
M.Harkless,D.Lillard,C.McCollum,M.Plumlee,E.Turner,POR,14,54,123.9,134.6,-10.8,66.7,2.13,21.4,26.2,53.8,39.5,0.1,59.7,64.8,99.66,46.6
M.Harkless,D.Lillard,C.McCollum,J.Nurkic,N.Vonleh,POR,6,75,113.2,102.1,11.1,50,1.55,16.1,31.1,74.3,54.2,0.1,55.4,57.7,100.17,58.5
M.Harkless,M.Leonard,D.Lillard,C.McCollum,M.Plumlee,POR,8,56,111.2,103.5,7.7,70.6,3,21.7,20.7,62.1,42.7,0.1,53.2,55.6,100.84,55.4
T.Hardaway Jr.,D.Howard,P.Millsap,D.Schroder,T.Sefolosha,ATL,30,120,123.3,96,27.3,63.2,2,21.2,29,77,55.3,0.2,62,64.1,97.17,65.9
B.Griffin,D.Jordan,C.Paul,J.Redick,A.Rivers,LAC,15,103,114.5,105.7,8.8,51.2,1.72,15.8,26.4,78.5,52.7,0.1,53.8,57.5,96.34,50.6
B.Griffin,D.Jordan,L.Mbah a Moute,J.Redick,A.Rivers,LAC,12,130,104.3,106.6,-2.2,64.2,1.75,19.3,20.2,75,47.7,0.1,54.3,55.5,98.45,47.5
B.Griffin,D.Jordan,L.Mbah a Moute,C.Paul,J.Redick,LAC,30,584,112.6,98.2,14.4,65.6,1.83,19.9,24.9,76.8,53.1,0.1,55.9,59.2,97.6,61.9
D.Green,A.Iguodala,S.Livingston,K.Thompson,D.West,GSW,17,102,101.5,90.3,11.2,76.3,2.42,22,15.6,74.7,46.6,0.1,50.6,53.6,93.8,59.5
D.Green,A.Iguodala,S.Livingston,J.McAdoo,K.Thompson,GSW,9,57,96.7,96.9,-0.1,78.4,1.93,19.5,17.3,71.2,44.2,0.1,45.6,51.1,92.82,51.3
