,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,unique_id
0,11,118,99.4,99.4,0.0,56.0,1.56,16.8,28.1,79.2,52.1,0.1,48.9,50.5,98.93,50.0,21000.2
1,30,199,119.1,104.8,14.3,52.9,1.7,17.2,29.2,74.1,50.8,0.1,57.7,60.0,92.89,54.7,11101.1
2,7,82,111.4,92.2,19.2,61.4,2.15,18.5,25.3,85.5,54.1,0.1,51.6,55.4,102.18,60.8,111.101
3,18,54,96.0,113.4,-17.4,60.0,1.09,16.7,28.2,74.5,54.4,0.2,51.2,53.4,94.04,46.5,100.211
4,18,300,113.7,104.4,9.3,62.4,1.98,19.2,23.6,72.7,49.3,0.1,56.0,58.9,100.72,54.7,11001.101
5,26,196,108.8,104.6,4.1,53.3,1.42,16.0,29.1,77.6,54.4,0.2,52.5,55.7,100.72,51.8,11100.101
6,12,181,126.2,97.9,28.3,58.0,1.87,19.1,30.6,81.4,57.6,0.1,61.7,64.6,99.78,63.9,11000.111
7,10,69,113.2,89.7,23.5,42.9,1.6,13.5,20.9,88.2,54.8,0.1,53.3,57.0,100.31,58.6,1100.111
8,16,62,99.2,127.9,-28.8,73.9,1.7,19.6,17.5,80.4,44.0,0.2,51.0,53.3,99.21,34.1,10200.101
9,8,63,102.1,124.4,-22.3,49.1,2.0,15.7,29.5,76.6,50.0,0.1,47.5,49.0,94.26,37.6,21000.11
10,14,54,123.9,134.6,-10.8,66.7,2.13,21.4,26.2,53.8,39.5,0.1,59.7,64.8,99.66,46.6,11000.21
11,6,75,113.2,102.1,11.1,50.0,1.55,16.1,31.1,74.3,54.2,0.1,55.4,57.7,100.17,58.5,11000.111
12,8,56,111.2,103.5,7.7,70.6,3.0,21.7,20.7,62.1,42.7,0.1,53.2,55.6,100.84,55.4,21000.11
13,30,120,123.3,96.0,27.3,63.2,2.0,21.2,29.0,77.0,55.3,0.2,62.0,64.1,97.17,65.9,10110.011
14,15,103,114.5,105.7,8.8,51.2,1.72,15.8,26.4,78.5,52.7,0.1,53.8,57.5,96.34,50.6,10110.101
15,12,130,104.3,106.6,-2.2,64.2,1.75,19.3,20.2,75.0,47.7,0.1,54.3,55.5,98.45,47.5,10101.101
16,30,584,112.6,98.2,14.4,65.6,1.83,19.9,24.9,76.8,53.1,0.1,55.9,59.2,97.6,61.9,10111.001
17,17,102,101.5,90.3,11.2,76.3,2.42,22.0,15.6,74.7,46.6,0.1,50.6,53.6,93.8,59.5,11101.01
18,9,57,96.7,96.9,-0.1,78.4,1.93,19.5,17.3,71.2,44.2,0.1,45.6,51.1,92.82,51.3,
19,10,62,100.6,114.3,-13.7,48.0,1.33,13.2,31.1,76.8,53.0,0.1,44.3,49.9,102.05,45.2,111.011
20,10,112,100.5,114.3,-13.8,62.9,2.1,19.0,18.8,72.4,43.8,0.1,48.8,52.0,102.2,43.8,11.102
21,9,83,117.3,113.4,3.9,67.1,2.29,22.5,16.2,80.3,48.9,0.1,60.9,63.3,102.39,52.6,11.012
22,19,56,95.0,99.2,-4.2,64.1,1.39,16.7,21.6,77.6,49.0,0.2,45.9,50.6,91.15,52.4,1201.001
23,14,59,115.3,100.9,14.5,57.1,1.6,15.5,21.2,83.3,52.8,0.1,54.9,59.7,95.9,60.7,200.201
24,27,376,110.4,102.3,8.1,62.3,1.92,19.4,15.8,76.2,48.1,0.1,55.4,59.3,101.47,55.5,
25,14,62,109.9,115.6,-5.7,61.7,1.45,18.9,13.6,73.7,47.5,0.2,58.7,62.3,91.62,50.6,
26,31,299,110.4,100.2,10.2,65.1,1.78,19.8,17.1,78.2,49.0,0.1,55.8,59.9,98.99,56.8,10111.01
27,14,102,124.7,116.7,7.9,64.5,3.16,21.2,24.7,73.1,48.9,0.1,59.2,61.1,94.09,51.7,1101.101
28,13,54,134.0,133.4,0.6,70.9,5.57,24.2,23.9,75.6,48.3,0.1,61.3,64.7,96.17,52.7,1101.11
29,23,181,94.2,92.0,2.2,57.8,1.34,15.9,21.3,86.0,53.1,0.2,46.1,49.8,99.36,50.7,110.012
30,4,84,115.6,93.6,22.0,52.5,2.1,17.4,29.3,72.5,53.0,0.1,53.1,57.1,101.49,64.8,211.001
31,33,296,106.2,109.2,-3.0,58.1,1.89,18.4,26.5,76.2,51.0,0.1,51.4,54.0,96.48,49.0,111.002
32,11,96,115.8,112.7,3.0,63.0,1.96,20.1,26.3,65.8,45.9,0.1,56.5,59.5,94.61,49.8,1101.101
33,10,66,104.6,107.4,-2.9,57.7,2.31,16.4,24.6,78.3,50.4,0.1,47.2,51.2,98.98,46.5,1.211
34,9,78,105.9,105.9,0.0,54.2,1.19,16.2,31.7,73.4,54.9,0.2,52.4,55.6,88.56,55.6,11200.001
35,15,147,113.4,90.7,22.7,57.5,1.53,17.8,30.6,80.3,57.8,0.2,54.5,58.3,92.82,64.1,10200.101
36,13,151,99.2,102.3,-3.1,66.1,1.44,18.6,18.7,83.1,51.8,0.2,51.3,54.7,92.2,51.6,10200.101
37,5,53,87.4,112.9,-25.5,61.5,1.14,15.4,38.3,74.5,55.0,0.2,39.6,42.9,100.36,39.3,2000.012
38,6,60,123.8,108.9,15.0,64.8,1.75,19.3,42.0,87.0,63.5,0.2,55.5,61.4,99.89,57.8,1100.012
39,9,104,114.4,102.1,12.3,59.8,1.62,18.8,21.1,69.1,49.5,0.2,57.1,62.2,101.52,62.2,
40,37,368,100.8,106.2,-5.3,63.9,1.36,18.4,15.5,72.0,45.4,0.2,52.4,56.9,101.15,49.9,10111.1
41,22,75,130.5,109.9,20.6,51.5,2.19,16.7,21.7,80.4,48.6,0.1,59.9,66.5,100.12,61.0,10110.11
42,35,167,111.7,98.4,13.3,68.9,2.12,22.5,17.7,78.9,52.3,0.1,58.0,60.7,96.65,60.6,11100.02
43,20,69,98.0,111.9,-14.0,52.8,1.27,13.9,26.8,77.6,51.4,0.1,44.8,49.9,104.12,45.6,1100.201
44,10,95,108.0,113.9,-5.9,69.5,2.04,21.0,31.3,69.3,50.9,0.1,52.6,54.6,94.76,49.5,1101.011
45,14,53,100.1,107.3,-7.2,46.3,1.06,13.8,22.4,76.8,51.4,0.2,51.1,53.5,98.55,44.7,1200.101
46,14,69,98.9,101.3,-2.4,60.0,1.5,16.9,16.4,90.0,51.2,0.1,50.4,53.3,104.88,47.7,1200.101
47,20,271,112.3,105.3,7.0,58.8,1.69,18.5,27.6,76.1,53.8,0.1,54.0,58.3,96.25,56.3,10010.021
48,35,126,117.3,102.3,15.1,65.5,2.29,20.3,33.9,78.2,56.2,0.1,54.2,58.0,100.2,61.7,10011.011
49,41,880,107.5,109.7,-2.3,63.7,1.76,19.0,25.6,76.6,50.8,0.1,51.7,55.7,96.24,50.1,10010.111
50,28,159,112.4,118.5,-6.1,53.2,1.56,16.7,35.0,81.4,54.3,0.1,52.5,55.9,98.15,44.2,11000.111
51,13,63,120.6,117.5,3.1,58.0,1.61,18.3,22.0,78.7,52.3,0.2,59.5,65.2,90.77,53.5,1201.001
52,18,68,103.8,108.8,-5.0,53.3,1.41,14.4,21.9,83.1,51.2,0.1,47.1,53.1,93.26,51.2,201.101
53,17,86,118.2,88.3,29.9,54.3,2.11,16.7,25.7,86.7,58.8,0.1,52.4,59.1,94.01,69.9,201.101
54,10,91,114.0,83.2,30.8,58.3,2.1,19.0,18.2,74.7,51.0,0.1,56.6,59.9,88.26,71.9,201.101
55,28,403,110.8,103.7,7.1,62.0,1.98,18.8,25.1,77.3,50.3,0.1,53.2,56.0,97.98,50.6,10100.111
56,17,59,122.3,97.0,25.3,61.5,2.13,20.5,16.7,77.8,48.3,0.1,62.9,65.7,98.16,62.1,21100.01
57,23,73,109.3,77.7,31.5,65.6,1.33,19.0,32.7,74.7,58.0,0.2,55.2,59.3,102.51,74.9,10100.201
58,8,70,104.0,106.4,-2.4,53.4,1.55,17.2,13.1,68.4,39.8,0.1,55.6,56.8,99.25,45.3,11200.001
59,22,90,110.0,108.6,1.4,37.1,1.44,10.7,27.1,67.8,46.8,0.1,45.5,52.8,102.2,49.8,10201.1
60,13,164,122.1,122.1,0.0,61.8,2.49,20.3,32.5,83.6,55.3,0.1,57.1,59.3,98.26,47.4,11000.111
61,13,122,108.2,99.3,8.9,57.3,2.17,18.7,15.0,74.1,46.3,0.1,54.4,56.5,100.85,53.9,10310.0
62,8,68,113.2,98.5,14.7,73.8,2.14,21.5,27.3,73.4,50.0,0.1,54.1,57.8,103.28,55.8,11101.01
63,28,68,133.0,115.9,17.0,81.7,2.64,25.5,35.7,71.0,55.2,0.1,63.8,67.4,106.93,60.2,1101.011
64,43,532,120.3,97.1,23.1,77.6,2.4,24.2,23.7,80.8,54.9,0.1,60.5,63.7,103.65,63.8,11001.02
65,24,126,124.4,92.2,32.1,72.7,3.31,23.8,20.7,80.1,54.0,0.1,61.0,63.5,107.25,67.2,1001.021
66,45,224,122.4,98.4,23.9,70.5,2.25,21.5,19.2,69.3,48.6,0.1,59.1,65.4,107.01,67.8,1101.02
67,18,189,106.5,95.9,10.6,59.5,1.96,18.5,16.0,75.8,46.8,0.1,53.8,56.1,97.77,55.8,10301.0
68,22,98,110.1,120.6,-10.4,64.8,1.64,17.0,18.0,67.4,42.7,0.1,51.2,58.4,99.0,47.6,11001.11
69,22,166,119.6,105.1,14.5,69.1,2.41,20.7,25.9,74.6,48.4,0.1,56.6,60.0,95.55,54.4,11000.111
70,16,55,120.9,103.4,17.5,66.7,1.88,19.5,17.5,76.5,50.5,0.1,58.3,65.5,102.17,58.7,11001.11
71,15,55,116.6,106.4,10.2,57.8,2.17,16.1,23.5,81.1,52.9,0.1,53.6,58.3,102.76,59.5,10100.201
72,21,67,108.9,114.9,-6.1,55.8,1.32,16.3,13.2,81.8,48.1,0.2,57.2,60.9,99.6,45.8,10010.201
73,27,97,121.3,113.0,8.4,53.0,1.69,15.7,26.3,83.3,53.3,0.1,57.2,62.1,100.81,57.3,10110.101
74,32,231,98.1,98.9,-0.8,46.7,1.31,13.1,16.9,71.8,44.1,0.1,46.7,51.4,97.64,48.1,1000.211
75,26,74,109.7,102.7,7.0,53.2,1.83,17.2,11.1,73.2,44.0,0.1,55.1,59.1,100.72,52.4,11000.201
76,15,58,102.0,109.7,-7.6,58.3,1.87,17.8,11.1,83.9,48.2,0.1,51.9,55.0,102.61,47.2,20000.21
77,26,77,113.6,109.7,3.9,50.0,1.42,16.6,26.2,70.9,50.7,0.2,57.4,59.5,98.25,52.5,11000.12
78,20,107,125.1,114.8,10.3,53.5,1.86,17.8,23.9,68.4,47.0,0.1,60.3,64.8,101.35,54.7,11000.12
79,13,63,109.5,92.2,17.3,58.0,1.32,17.5,20.0,78.8,55.0,0.2,54.5,61.0,99.11,62.8,0.221
80,14,80,99.1,114.6,-15.5,60.7,1.42,16.8,18.7,68.7,42.3,0.2,49.6,53.3,100.24,42.6,20110.01
81,18,70,99.1,106.0,-6.9,71.0,2.0,21.0,18.6,71.4,45.0,0.1,51.1,52.7,102.1,49.8,20110.01
82,15,55,88.9,130.1,-41.2,48.8,1.05,14.8,14.9,72.7,38.8,0.2,50.0,50.2,96.49,28.8,10111.01
83,11,54,103.0,108.5,-5.5,60.5,2.36,16.9,22.4,75.6,44.4,0.1,47.1,50.6,102.68,44.2,10111.01
84,15,61,82.4,109.9,-27.5,65.9,1.93,16.7,14.9,80.8,43.7,0.1,40.4,42.5,96.86,32.3,20110.01
85,13,56,94.9,113.0,-18.2,48.9,1.47,14.9,15.4,79.2,46.0,0.1,47.1,50.4,98.37,40.9,20110.01
86,19,67,107.1,102.0,5.0,69.0,1.6,19.9,22.6,78.9,49.6,0.2,54.1,57.9,107.23,55.0,20110.01
87,14,115,104.3,90.3,14.0,74.5,1.75,21.1,28.0,77.4,53.4,0.2,52.4,55.0,97.06,58.3,
88,12,83,92.5,83.9,8.6,62.1,1.03,15.4,23.3,84.5,56.1,0.2,45.5,51.4,100.79,62.0,
89,7,58,88.8,122.3,-33.4,73.0,1.42,17.9,18.5,73.8,42.7,0.2,44.7,48.2,93.42,33.1,
