unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
10111.001,60,1217,117.8,100,17.7,69.2,2.51,21.7,27.1,76,52.8,0.1,57.1,59.5,97.03,60.8
20010.02,57,915,109.8,101.6,8.1,72.5,2.01,21.8,21.2,72.6,47.8,0.2,55.4,58.7,96.89,55.7
1001.021,58,813,114.4,94.8,19.6,70.1,2.25,22.3,20.3,77.2,50.3,0.1,58.3,60.3,100.66,60.2
11100.011,32,629,107.8,97.1,10.7,55.8,1.77,16.8,24.9,76.9,52.3,0.1,50.3,54.7,96.13,57.2
10210.001,40,596,106.1,98.7,7.4,64.7,1.86,20,21.6,81.7,51.8,0.1,53.5,56.1,96.79,54.1
11001.101,33,481,116.1,96.8,19.3,62.8,1.82,20,27.7,75.2,53.1,0.2,57.8,60.4,97.07,60.1
21100.01,43,460,110.1,102.7,7.4,55.2,1.5,17.3,23.9,72.4,49,0.2,53.5,58.5,94.98,54.7
11.111,31,455,103,106.7,-3.8,58.3,1.57,18.3,22.1,74.4,47,0.2,52.6,54.6,96.72,46.8
11000.021,30,427,108.1,91.8,16.4,51.8,1.5,16.4,24,79.5,53.4,0.1,52.8,56.6,97.75,59.4
21100.01,29,426,100.4,103.4,-3,59.7,1.65,17.5,19.1,76.6,47.4,0.1,48.1,53.1,92.72,50.4
110.012,29,416,107.1,108.6,-1.5,56.3,1.45,16.9,31.7,77.9,54.4,0.2,51.2,54.6,96.92,48.6
2001.011,35,392,103.9,94.5,9.4,49.7,1.35,16.1,23.9,75.5,51,0.2,52.4,54.9,98.67,55.4
1200.002,32,390,107.2,104.7,2.6,54.3,1.57,17.2,22.2,78.3,52.1,0.1,53.5,56.8,96.03,51
10100.111,30,374,104.6,100.3,4.3,66.3,2.22,19,21.5,80.1,51.2,0.1,49,53.2,94.28,54.2
10000.211,25,360,108.1,96.7,11.5,66.3,1.37,18.7,28.9,74.8,52.3,0.2,54.7,58,98.41,54.1
11100.011,21,353,107.2,103.5,3.7,64.6,1.92,19.2,25,77,52.5,0.1,51.1,55.2,95.78,54.9
20000.21,25,346,109,104.5,4.5,64.2,1.79,19.6,26.8,75.9,51.2,0.2,54.3,56.4,92.38,51.8
21101,24,344,107.3,97.4,9.9,66.7,1.7,19.7,30,79.2,54.3,0.2,51.9,55.6,97.2,56.1
11100.011,20,338,102.4,117.6,-15.2,63.2,1.9,18.5,24.5,74.5,47.9,0.1,48.2,52.1,98.74,41.5
21200,24,328,114.4,114.8,-0.3,54,1.88,18.4,26.6,75.5,51.5,0.1,56,58.4,91.04,49.8
101.201,33,321,95.1,102.3,-7.2,59.2,2.08,18.2,18.2,76.8,47.1,0.1,47.1,49,97.95,46.4
210.002,28,317,98,96.2,1.8,67.3,1.64,19.5,21.4,81.2,50.5,0.2,49.7,52.6,97.46,51.2
11100.011,21,314,107.5,111,-3.5,52.9,1.58,16.5,24.2,75.5,51.3,0.1,51.6,55.3,95.63,48.4
100.112,19,269,96.9,106.6,-9.7,67.3,1.75,18.8,22,75.3,47.4,0.1,47.7,50.9,96.77,45.1
10.121,16,267,113.1,105.8,7.3,60.2,2.01,18.8,17.4,81.3,49,0.1,56.2,59.7,100.24,52.9
1002.011,44,266,114.2,102.3,11.9,58.9,1.94,19,25.6,78.6,53.4,0.1,55.5,58.8,94.66,57
110.012,25,265,97,101.6,-4.6,65.5,1.78,18.4,23.1,79.5,51.2,0.1,47.1,50,97.05,48.6
11001.011,29,265,116.8,93.2,23.6,62.2,2.46,21.2,21.9,74.9,50.8,0.1,56.9,60.1,96.84,62.2
10100.201,24,260,96,110.5,-14.6,60.5,1.53,17.6,22.9,73.2,48.3,0.2,47,50.4,92.3,44.1
11001.101,22,257,107.2,104.2,3,72.2,2.07,21.2,25.9,76.1,51.8,0.1,51.7,55.7,95.07,52.8
10101.11,23,256,109.9,101,8.9,51.9,2.06,16.6,26.8,78.6,52.3,0.1,49.9,53.9,92.9,53.5
11100.011,24,254,102.9,97.5,5.4,58.2,1.42,16.9,31.6,77.6,54.2,0.2,49.6,52,96.88,51.2
1001.111,21,254,116.4,103.6,12.9,64,2.53,20.4,24.8,76.8,50.7,0.1,54.7,58.3,96.34,57.5
1000.022,23,249,109.8,96.4,13.4,61.1,1.54,18.3,31.3,81.9,57.6,0.2,52.7,57,97.86,57.7
10110.101,44,245,119.1,109.6,9.5,64.1,2.02,18.7,23.8,78.4,51.9,0.1,55,61.4,95.4,56.2
10210.001,20,242,96.6,89.1,7.5,69.2,1.47,19,22.9,77.9,50.6,0.2,48.4,52.1,97.76,59.5
12002,26,237,107.1,102.9,4.2,54.3,1.37,18.1,21,71,48.6,0.2,56.7,59.2,96.47,53.6
10011.2,39,229,114.6,96.8,17.7,54.6,1.84,16.9,27.4,71.2,49.2,0.1,54.1,57.8,93.67,59.2
10011.101,45,225,118.9,104.9,14,55.5,2.36,17.6,27.3,72.7,50.6,0.1,54.4,58.4,95.45,58.3
102.101,21,211,98.9,108,-9,54.3,1.38,16.7,14.8,78.2,45.8,0.2,51.7,54.3,94.38,43
20001.2,20,210,108.4,97,11.4,61.7,1.8,19,32,81.4,56.9,0.1,51.5,54.5,91.94,57.3
20100.11,16,201,100.8,100.9,-0.1,61.2,1.53,18,27.6,84.6,54.8,0.2,49.6,52.1,97.36,49.3
1001.021,36,201,117.5,98.4,19.1,65.8,2.47,21.4,23.9,72.2,48.4,0.1,57.2,59.8,105.16,59.3
10111.001,17,199,113.3,100.7,12.6,69,2.23,21.5,22.2,76.4,51.6,0.1,57.4,59.2,95.85,56.3
11100.011,20,190,100.3,104.6,-4.3,61.3,1.74,17.4,24.2,71.7,47.1,0.1,47.6,50.9,93.06,47.4
10200.101,31,187,97.4,96.9,0.5,59.5,1.07,15.8,31.1,81.9,56.2,0.2,48.1,51.5,89.89,49.5
1101.011,16,185,96.4,107,-10.6,66,1.7,18,29.9,72.3,49.5,0.1,45.4,47.8,99.02,43.3
1101.011,50,181,122.6,94.3,28.3,61.9,2.04,19.5,29.2,74.3,51.8,0.1,57.6,61.5,101.13,62.6
11.102,17,180,97.2,103.6,-6.4,60.4,1.58,18,30.6,75,51.8,0.2,46.5,49.3,95.19,47
20000.12,14,179,105.7,102.2,3.6,57.1,1.65,18.4,18.5,77.2,47.8,0.1,53.2,56.8,92.84,51.9
11000.111,16,179,108.1,110,-1.9,49.3,2.03,15.9,27.4,73.4,50.5,0.1,49.8,53,91.95,50.8
21100.01,20,178,106.3,110.9,-4.6,57.3,1.48,18.4,26.5,80.1,53.8,0.2,54,56.8,91.55,50.8
10000.211,19,174,102,98.7,3.3,61.2,1.26,16.8,29.7,79.7,52.8,0.2,49.7,53.8,98.39,49.8
1101.011,18,173,126.5,112.1,14.3,65.6,2.74,22.8,26.3,75.2,51.5,0.1,63.1,64,90.33,54.1
20100.2,13,171,109.8,98.5,11.3,62.3,2.33,19.4,27.1,79.3,52.8,0.1,51.1,54.4,94.77,55.8
12001.01,27,163,102.8,97.6,5.2,53.2,1.24,14.9,30.1,75.2,51.9,0.2,47.6,52.2,97.74,52.7
10111.01,19,161,108.7,105.7,3,61.8,2.24,19.5,24.8,78.4,49.7,0.1,52.3,54.7,101.83,50.7
10200.101,16,161,103.4,92.6,10.8,64.7,1.88,19,27.9,80.7,55.2,0.1,50,52,87.9,58
111.011,9,159,109.9,104,5.9,63.7,2.97,20.3,24.7,71.8,47.3,0.1,51.7,53.3,90.38,52.1
10010.21,14,157,106.8,105.9,0.9,58.4,1.46,17.5,23.5,70.1,46.7,0.2,52.6,56.6,96.02,50
1001.111,39,156,97.4,105.1,-7.8,73.6,1.88,19.5,13.3,77.4,45.6,0.1,48.4,52.9,96.68,46
21100.1,22,155,93.3,102.1,-8.8,58.5,2.03,17.1,15.9,84.3,47.8,0.1,44.6,48.4,96.37,43.6
112.001,16,153,98.4,107.9,-9.5,58.2,1.37,17.6,21.6,76,47.9,0.2,51.6,53.3,95,44
11002.01,19,152,101,86,14.9,59.1,1.76,16.3,29.7,67.3,48.4,0.1,45.7,49,93.67,58.9
11.102,14,152,95.3,102.3,-7.1,64.7,2.2,19.7,15.2,72.1,43.4,0.1,47.9,50,93.63,47.5
10002.11,16,151,101,118.5,-17.5,66.4,1.72,19.4,28.3,64.7,45.7,0.2,48.9,52.4,95.71,42.3
11100.011,11,149,98.1,106,-7.9,65.4,1.94,18,22.4,81.9,51.6,0.1,46.2,49.7,94.26,43
11100.011,12,146,101.2,110.3,-9.1,66.4,1.83,19.1,26.7,75.8,50.2,0.1,49,51.5,91.74,46.3
