unique_id,OFFRTG,DEFRTG,NETRTG,EFG%,TS%,PACE,PIE
2101.001,132.7,84.7,48.1,61.4,66,106.61,76.5
10011.02,117.5333333,87.9,29.6,56.76666667,60,96.86666667,67.86666667
111.2,109.4,86.1,23.4,54.3,59.2,106.22,70.1
1101.02,122.925,99.825,23.1,60.75,65.025,104.815,63.55
2001.02,130.5,107.9,22.6,61.1,66.7,99.77,63.1
102.2,118.9,96.4,22.5,56.6,59.5,96.24,62.6
11001.2,113.6,95.2,18.4,51.8,57.1,95.58,64.6
200.111,104.2,86,18.2,59.4,63.6,100.34,66.9
10011.011,115.75,97.95,17.9,51.9,57.35,99.565,64.35
10011.2,114.6,96.8,17.7,54.1,57.8,93.67,59.2
0.221,109.5,92.2,17.3,54.5,61,99.11,62.8
11002.1,108.95,92.3,16.625,53.225,57.125,96.9,59.3
200.021,108.7,92.1,16.5,52.9,58.4,95.28,61.7
10011.101,121.3,105.4,15.9,57.85,60.35,96.115,58.7
20200.1,113.9,98.6,15.4,56.1,58.6,88.2,58.9
210.101,116.8,102.1,14.8,61.9,65.4,99.01,60.5
1001.021,112.7875,97.9875,14.8,56.825,59.1625,101.8275,57.8375
200.201,115.3,100.9,14.5,54.9,59.7,95.9,60.7
0.212,111.65,98.05,13.6,53.25,56.7,95.105,57.2
1000.112,113.2,99.8,13.4,53.5,57.7,99.95,60
11100.02,111.675,98.375,13.3,52.275,57.575,97.1775,58.475
10000.211,110.28,97.3,13.02,54.86,58.28,98.014,55.62
1011.011,113.6,100.7,12.9,53,57.9,99.89,60.1
11010.011,108.35,95.5,12.9,52.55,57.35,101.66,63
10110.11,117.05,104.5,12.55,56.05,61.55,101.735,56.4
100.202,112.1,99.9,12.2,49.65,55.05,94.88,56.85
20011.1,113.3,101.1,12.2,54.5,56.2,99.83,55.8
201.101,110.45,98.4,12.03333333,52.3,57.15,91.49166667,58.63333333
20001.2,108.4,97,11.4,51.5,54.5,91.94,57.3
10110.101,116.5166667,105.7333333,10.8,56.26666667,59.98333333,99.28833333,57.36666667
10200.011,100.35,89.65,10.75,43.45,48.25,97.15,55.85
12101,105.3,94.6,10.7,52.15,54.95,96.76,56.15
10301,106.5,95.9,10.6,53.8,56.1,97.77,55.8
10111.001,110.75,100.1666667,10.56666667,53.83333333,56.01666667,96.08166667,56.76666667
110.111,111.15,101,10.1,50.55,54.4,97.585,56.35
11.021,101.2,91.15,9.95,48.3,53,100.36,60.8
11001.101,111.95,101.99,9.94,53.71,57.13,95.678,55.16
