Season,Player,Pos,Player_ID,url
Inactive,A.J. Price,PG,priceaj01,http://www.basketball-reference.com/players/p/priceaj01.html
Active,Aaron Brooks,PG,brookaa01,http://www.basketball-reference.com/players/b/brookaa01.html
Active,Aaron Gordon,SF,gordoaa01,http://www.basketball-reference.com/players/g/gordoaa01.html
Active,Aaron Harrison,SG,harriaa01,http://www.basketball-reference.com/players/h/harriaa01.html
Active,Adreian Payne,PF,paynead01,http://www.basketball-reference.com/players/p/paynead01.html
Active,Al Horford,C,horfoal01,http://www.basketball-reference.com/players/h/horfoal01.html
Active,Al Jefferson,C,jeffeal01,http://www.basketball-reference.com/players/j/jeffeal01.html
Active,Al-Farouq Aminu,SF,aminual01,http://www.basketball-reference.com/players/a/aminual01.html
Active,Alan Anderson,SF,anderal01,http://www.basketball-reference.com/players/a/anderal01.html
Active,Alan Williams,PF,willial03,http://www.basketball-reference.com/players/w/willial03.html
