position_one,position_two,position_three,position_four,position_five,unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
Combo Guards,Defensive Centers,Versatile Forwards,Shooting Wings,Combo Guards,2101.001,20,76,132.7,84.7,48.1,59.7,1.59,18.4,43.1,80,62.9,0.2,61.4,66,106.61,76.5
3-and-D Wings,Combo Guards,Versatile Forwards,Shooting Wings,3-and-D Wings,1101.02,37,172,142,95,47,65.9,2.22,22.5,27,71.6,54.1,0.1,72.3,75,107.67,73.2
3-and-D Wings,Offensive Centers,Combo Guards,Combo Guards,Combo Guards,13000.01,26,89,119.1,86.1,33,57.5,1.91,17.1,25.3,75.3,52.8,0.1,54.2,60.2,97.65,71.6
Defensive Centers,Combo Guards,Versatile Forwards,Shooting Wings,3-and-D Wings,1101.011,46,156,124,92.2,31.8,71.9,1.89,22.6,22,69,50,0.2,66.1,67.8,97.86,69.4
Shooting Wings,Combo Guards,Versatile Forwards,Shooting Wings,Defensive Centers,1201.001,32,85,131.6,101.4,30.2,53,3.67,19.1,12.7,77.3,50,0.1,62.6,67.7,95.69,68.2
Combo Guards,Defensive Centers,Versatile Forwards,Shooting Wings,3-and-D Wings,1101.011,34,126,122.5,92.3,30.2,69.7,2.02,21.7,24.5,77.6,54.7,0.1,62.1,65,105.83,68.7
Shooting Wings,Combo Guards,Shooting Wings,Offensive Centers,Defensive Centers,11200.001,5,71,118.3,90.5,27.8,63.8,1.95,20.6,21.6,72.3,50,0.1,58.9,63,92.64,65.7
3-and-D Wings,Scoring Wings,Shooting Wings,Defensive Centers,Scoring Wings,100.211,22,75,123.8,98.8,25,59.4,1.58,18,25,75.4,51.4,0.2,62.6,66.5,100.94,63.6
Scoring Wings,Shooting Wings,Scoring Wings,Shooting Wings,Offensive Centers,10200.2,20,105,119.3,94.9,24.4,61.3,2.38,19.1,30,83.3,58.3,0.1,54.2,58.8,100.89,66.7
Combo Guards,Scoring Wings,Offensive Centers,Versatile Forwards,Defensive Centers,11001.101,46,198,120.4,96.2,24.2,62.4,2.58,18.7,30.2,81.3,55.8,0.1,53.8,58,93.84,62.3
Versatile Forwards,Shooting Wings,Scoring Wings,Floor Generals,Defensive Centers,111.101,11,75,118.1,94.7,23.4,63.5,3.13,20.7,31.4,79.7,56.3,0.1,52.7,56.5,101.08,62.4
3-and-D Wings,Combo Guards,Versatile Forwards,Combo Guards,3-and-D Wings,2001.02,29,87,130.5,107.9,22.6,66.3,2.21,20.8,28.6,73.7,54.5,0.1,61.1,66.7,99.77,63.1
Shooting Wings,Versatile Forwards,Versatile Forwards,Scoring Wings,Scoring Wings,102.2,21,133,118.9,96.4,22.5,62.2,2.74,20,23.9,75.9,49.3,0.1,56.6,59.5,96.24,62.6
Offensive Centers,Versatile Forwards,3-and-D Wings,Combo Guards,Combo Guards,12001.01,19,93,114.9,92.6,22.3,67.5,2.08,20.6,28.6,75.5,53.8,0.1,54.9,58.1,92.8,63
