Season,Player,Pos,Player_ID,url,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3
Active,A.J. Hammons,C,hammoaj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hammoaj01.html,24,17,77,9.7,0.455,0.273,0.455,7.2,24,15.2,4.1,0,7,10.2,18.1,-0.1,0.1,0,0.015,-6.7,1.1,-5.6,-0.1,0.409,13.5,0.727,0.273,0.091,0.182,0.182,0.273,0.313,0.333,0,0.25,0.5,0.667,0.8,0.091,1,0.167,0
Active,Aaron Brooks,PG,brookaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,32,46,660,10.3,0.505,0.447,0.128,2.4,6.4,4.4,22.5,1.7,1,17.3,19.6,-0.2,0.4,0.2,0.016,-1.7,-2.4,-4,-0.3,0.407,17.2,0.553,0.177,0.15,0.111,0.106,0.447,0.464,0.425,0.441,0.64,0.375,0.337,0.103,0,0.529,0.119,0.417
Active,Aaron Gordon,SF,gordoaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,21,56,1548,12.5,0.503,0.342,0.244,5.1,13.4,9.1,11.2,1.3,1.3,9.1,19.6,0.5,1.2,1.6,0.051,-1,-0.4,-1.4,0.2,0.428,13.8,0.66,0.307,0.104,0.098,0.153,0.34,0.5,0.686,0.322,0.411,0.299,0.289,0.457,0.086,0.875,0.273,0.264
Active,Aaron Harrison,SG,harriaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harriaa01.html,22,5,17,-2.1,0.102,0.5,0.5,0,18.9,9.5,22.7,0,0,0,12.8,-0.1,0,0,-0.137,-9.5,-1.7,-11.2,0,0,22.3,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0
Active,Adreian Payne,PF,paynead01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html,25,12,92,14.3,0.526,0.256,0.385,7.4,18,12.6,7,2.8,3.7,13.3,25.4,0,0.1,0.2,0.079,-2.4,-0.5,-2.9,0,0.436,12.8,0.744,0.282,0.154,0.103,0.205,0.256,0.517,0.364,0.667,0.75,0.5,0.2,0.733,0.051,1,0.1,0
Active,Al Horford,C,horfoal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,30,45,1481,17.6,0.541,0.342,0.155,4.6,17.9,11.2,23.7,1.1,3.8,11.3,20.6,2.2,1.6,3.8,0.125,1.1,1.8,2.8,1.8,0.456,14.1,0.658,0.206,0.19,0.125,0.134,0.342,0.511,0.692,0.426,0.366,0.5,0.351,0.592,0.053,0.985,0.139,0.296
Active,Al Jefferson,C,jeffeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,32,57,832,19.4,0.534,0.002,0.188,9.2,23.4,16.4,11.2,1,1.6,5.8,26,1.3,0.9,2.2,0.125,-1,-1.5,-2.5,-0.1,0.506,7.5,0.998,0.295,0.378,0.207,0.114,0.002,0.507,0.653,0.541,0.333,0.354,0,0.535,0.024,0,0,0
Active,Al-Farouq Aminu,SF,aminual01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,26,37,1075,10.5,0.476,0.466,0.228,4.3,24,14,10.1,1.7,1.8,14.8,15.5,-0.4,1,0.7,0.03,-2.7,1.2,-1.6,0.1,0.367,14.2,0.534,0.289,0.153,0.037,0.051,0.466,0.42,0.529,0.244,0.273,0.467,0.307,0.5,0.044,1,0.336,0.348
Active,Alan Anderson,SF,anderal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,34,23,266,4.6,0.472,0.557,0.171,1.3,8.1,4.8,5.7,0.6,0,8.5,13.8,-0.1,0.1,0.1,0.009,-3,-2.1,-5.1,-0.2,0.357,17.7,0.443,0.157,0.1,0.071,0.114,0.557,0.419,0.818,0.143,0.2,0.25,0.308,0.615,0,0.833,0.333,0.231
Active,Alan Williams,PF,willial03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willial03.html,24,23,164,19.5,0.545,0,0.455,20.2,30,24.9,1.9,2.1,7,16.5,20.3,0.2,0.3,0.4,0.13,-3.4,0.5,-2.9,0,0.527,4.3,1,0.473,0.455,0.073,0,0,0.527,0.577,0.48,0.5,0,0,0.448,0.018,0,0,0
Active,Alec Burks,SG,burksal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,25,21,319,12.4,0.535,0.316,0.376,1.9,11.9,7,6.9,2,0.8,11.7,22.7,0,0.5,0.5,0.075,-2.4,-0.6,-3,-0.1,0.444,13.2,0.684,0.282,0.137,0.111,0.154,0.316,0.5,0.455,0.563,0.769,0.333,0.324,0.275,0.034,0.75,0.432,0.375
Active,Alex Abrines,SG,abrinal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/abrinal01.html,23,46,643,9.9,0.566,0.716,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16,0.7,0.5,1.2,0.091,-0.6,-2.5,-3.1,-0.2,0.393,20.5,0.284,0.109,0.055,0.05,0.07,0.716,0.439,0.5,0.455,0.2,0.5,0.375,0.6,0.02,0.963,0.208,0.367
