,Unnamed: 0,Player,Pos,Player_ID,url,Cluster,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,0,A.J. Price,PG,priceaj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,0,261.0,25.0,15.1,2.1,5.5,0.38,0.8,2.6,0.316,1.3,2.9,0.439,0.456,0.8,1.1,0.742,0.3,1.2,1.4,2.2,0.5,0.0,0.9,0.9,5.8
1,1,Aaron Brooks,PG,brookaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,0,594.0,182.0,21.9,3.7,9.0,0.413,1.3,3.6,0.368,2.4,5.3,0.444,0.488,1.5,1.8,0.839,0.4,1.4,1.8,3.2,0.6,0.1,1.6,2.0,10.3
2,2,Aaron Gordon,SF,gordoaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,5,182.0,94.0,23.3,3.4,7.5,0.45,0.6,2.1,0.289,2.7,5.3,0.514,0.491,1.4,2.2,0.669,1.5,3.6,5.2,1.5,0.7,0.6,0.9,1.9,8.8
3,4,Adreian Payne,PF,paynead01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html,8,96.0,24.0,13.7,1.7,4.2,0.399,0.1,0.5,0.235,1.6,3.7,0.422,0.413,0.6,0.9,0.678,0.8,2.3,3.1,0.7,0.4,0.3,0.9,1.9,4.1
4,5,Al Horford,C,horfoal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,1,623.0,619.0,33.4,6.1,11.5,0.529,0.3,0.8,0.344,5.8,10.7,0.543,0.541,1.9,2.5,0.747,2.3,6.4,8.7,2.9,0.8,1.2,1.6,2.4,14.4
5,6,Al Jefferson,C,jeffeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,1,870.0,650.0,29.6,6.9,13.9,0.499,0.0,0.1,0.127,6.9,13.8,0.501,0.499,2.3,3.2,0.709,2.3,6.3,8.6,1.5,0.7,1.2,1.4,2.6,16.1
6,7,Al-Farouq Aminu,SF,aminual01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,5,496.0,279.0,23.8,2.7,6.3,0.426,0.6,1.7,0.319,2.1,4.5,0.467,0.47,1.2,1.7,0.73,1.4,4.2,5.6,1.2,0.9,0.6,1.3,1.9,7.1
7,8,Alan Anderson,SF,anderal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,3,323.0,66.0,20.9,2.6,6.4,0.404,1.0,3.0,0.343,1.6,3.5,0.456,0.483,1.2,1.5,0.817,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.4
8,10,Alec Burks,SG,burksal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,3,280.0,42.0,22.4,3.6,8.3,0.432,0.6,1.7,0.362,3.0,6.7,0.45,0.468,2.6,3.4,0.748,0.7,2.2,2.8,1.8,0.6,0.2,1.4,2.0,10.3
9,11,Alex Abrines,SG,abrinal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/abrinal01.html,3,46.0,0.0,14.0,1.7,4.4,0.393,1.2,3.1,0.375,0.5,1.2,0.439,0.527,0.8,0.9,0.878,0.3,0.8,1.1,0.5,0.5,0.1,0.5,1.5,5.4
10,13,Alex Len,C,lenal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,1,243.0,104.0,19.6,2.6,5.6,0.463,0.0,0.1,0.214,2.6,5.5,0.465,0.464,1.5,2.1,0.719,1.9,4.2,6.1,0.7,0.4,1.0,1.3,2.8,6.7
11,15,Alexey Shved,SG,shvedal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html,9,182.0,25.0,18.0,2.4,6.6,0.369,0.9,2.9,0.306,1.6,3.7,0.417,0.436,1.6,2.1,0.762,0.5,1.5,2.0,2.5,0.6,0.3,1.3,1.1,7.4
12,16,Alexis Ajinca,C,ajincal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,6,277.0,73.0,13.3,2.2,4.3,0.5,0.0,0.1,0.293,2.1,4.2,0.507,0.505,0.9,1.1,0.799,1.2,2.7,3.9,0.5,0.3,0.6,0.9,2.3,5.2
13,17,Allen Crabbe,SG,crabbal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html,2,204.0,24.0,22.1,2.9,6.5,0.451,1.1,2.9,0.401,1.8,3.6,0.492,0.54,1.0,1.1,0.856,0.2,2.0,2.2,1.0,0.6,0.2,0.7,2.0,7.9
14,18,Alonzo Gee,SF,geeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,2,417.0,213.0,21.8,2.4,5.5,0.434,0.4,1.4,0.325,2.0,4.2,0.469,0.474,1.4,1.8,0.754,0.9,2.3,3.3,1.1,0.9,0.2,1.1,1.9,6.6
