,Unnamed: 0,X1,X2,labels,Player,Status,Player_ID,url,G,GS,MP_,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
0,479.0,-3.430559788,1.197160363,Combo Guards,Shelvin Mack,Active,macksh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/macksh01.html,321,50,5559,7.3,17.3,0.424,1.9,5.8,0.323,5.5,11.5,0.475,2.0,2.7,0.748,0.7,4.9,5.6,8.8,1.8,0.1,3.7,3.5,18.6,100,107,12.4,0.502,0.335,0.158,1.5,10.8,6.2,27.2,1.8,0.1,16.6,19.7,1.7,5.3,6.9,0.06,-1.3,-1.3,-2.6,-0.8
1,480.0,-1.300053822,-0.80971842,Shooting Wings,Solomon Hill,Active,hillso01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hillso01.html,225,128,5066,4.8,11.9,0.405,1.6,4.8,0.335,3.2,7.1,0.452,2.7,3.2,0.825,1.5,5.8,7.2,3.5,1.6,0.5,2.1,3.9,13.9,103,106,9.8,0.522,0.403,0.273,3.2,12.4,7.8,10.3,1.5,0.9,13.9,13.7,2.2,5.8,7.9,0.075,-1.5,1.0,-0.5,2.0
2,481.0,-0.435722375,-0.423799187,3-and-D Wings,Sonny Weems,Inactive,weemsso01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/weemsso01.html,183,47,3335,7.9,17.0,0.465,0.5,1.8,0.283,7.4,15.1,0.487,1.9,2.8,0.702,1.4,4.8,6.2,3.9,1.3,0.4,3.0,4.1,18.2,97,114,10.1,0.501,0.108,0.164,3.1,11.0,7.1,12.0,1.3,0.6,14.3,18.6,-0.6,0.6,0.0,0.001,-2.5,-1.7,-4.2,-1.9
3,482.0,-3.210565207,1.399375047,Combo Guards,Spencer Dinwiddie,Active,dinwisp01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dinwisp01.html,79,17,1319,5.4,14.6,0.368,1.2,4.6,0.268,4.1,10.0,0.414,4.1,5.1,0.797,0.7,4.9,5.7,8.2,1.5,0.7,2.9,5.2,16.1,102,111,10.8,0.477,0.315,0.353,1.6,10.8,6.2,25.2,1.5,1.0,14.7,17.5,0.5,0.8,1.3,0.047,-2.2,-1.2,-3.3,-0.4
4,483.0,2.222598572,0.758954278,Offensive Centers,Spencer Hawes,Active,hawessp01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hawessp01.html,665,368,15370,8.1,17.6,0.456,1.2,3.3,0.35,6.9,14.3,0.481,2.2,3.1,0.715,3.3,9.5,12.8,4.2,0.9,2.2,3.2,5.6,19.4,101,106,13.9,0.512,0.189,0.173,7.2,21.3,14.2,13.2,0.9,3.3,14.4,19.5,5.1,17.0,22.1,0.069,-1.9,1.1,-0.7,4.9
5,484.0,-0.890028108,-0.939752446,Shooting Wings,Stanley Johnson,Active,johnsst04,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsst04.html,127,6,2589,6.1,16.1,0.38,1.8,5.7,0.306,4.4,10.3,0.422,2.1,2.8,0.746,1.6,6.8,8.4,3.7,1.8,0.6,3.1,5.2,16.0,92,106,8.6,0.464,0.357,0.173,3.4,15.2,9.1,10.8,1.8,1.0,15.3,17.7,-1.7,3.1,1.4,0.025,-3.0,1.0,-2.1,0.0
6,485.0,-3.032566781,0.786854669,Combo Guards,Stephen Curry,Active,curryst01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/curryst01.html,551,545,19129,11.3,23.7,0.477,4.7,10.7,0.44,6.6,13.0,0.507,4.9,5.4,0.903,1.0,5.2,6.2,9.7,2.5,0.3,4.5,3.6,32.2,117,106,23.3,0.617,0.45,0.229,2.2,11.3,6.9,32.3,2.5,0.5,14.7,27.1,59.5,21.0,80.5,0.202,6.8,-0.5,6.2,39.7
7,486.0,-3.446450516,1.063595203,Combo Guards,Steve Blake,Inactive,blakest01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/blakest01.html,870,347,20823,5.2,13.0,0.401,2.6,6.8,0.383,2.6,6.1,0.42,1.3,1.6,0.779,0.6,3.9,4.6,8.7,1.5,0.2,3.1,3.2,14.3,106,110,11.1,0.521,0.527,0.126,1.4,8.6,5.0,25.1,1.5,0.2,18.4,14.5,16.6,12.5,29.1,0.067,-0.2,-1.5,-1.8,1.3
8,487.0,-0.180215119,-1.431754058,3-and-D Wings,Steve Novak,Active,novakst01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/novakst01.html,467,6,5657,7.0,15.9,0.437,5.3,12.4,0.43,1.6,3.5,0.463,0.9,1.1,0.877,0.6,4.8,5.5,1.2,0.8,0.4,0.8,3.4,20.2,122,110,12.7,0.616,0.779,0.066,1.4,10.9,6.0,3.8,0.8,0.5,4.4,14.9,11.1,3.4,14.5,0.123,1.7,-2.6,-0.9,1.6
9,488.0,2.862104718,1.018373836,Defensive Centers,Steven Adams,Active,adamsst01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/adamsst01.html,286,222,6677,6.3,11.1,0.568,0.0,0.0,0.0,6.3,11.1,0.569,3.1,5.3,0.582,5.6,8.0,13.6,1.7,1.3,2.2,2.7,5.8,15.7,114,105,14.8,0.584,0.003,0.479,12.7,17.1,15.0,5.0,1.3,3.4,16.7,14.0,9.5,8.7,18.2,0.131,-0.7,1.6,0.9,4.9
