X1,X2,labels,Player,Status,Player_ID,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
-3.721358255,0.734825997,Combo Guards,A.J. Price,Inactive,priceaj01,100,108,12.2,0.486,0.478,0.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8,20.5,1.2,3.5,4.7,0.058,-0.3,-2.1,-2.4,-0.4
-3.382158377,1.127595923,Combo Guards,Aaron Brooks,Active,brookaa01,104,110,13.5,0.525,0.405,0.201,2.1,6.9,4.5,23.8,1.4,0.5,14.4,23.3,10.5,8.5,19,0.07,0.7,-2.4,-1.7,1.1
0.53233959,-0.575656992,Versatile Forwards,Aaron Gordon,Active,gordoaa01,107,108,14.3,0.522,0.283,0.29,7.1,17.7,12.3,9.9,1.4,2,9.8,17.8,4.1,4.1,8.1,0.092,-0.6,0.4,-0.3,1.9
1.502678851,0.146058376,Versatile Forwards,Adreian Payne,Active,paynead01,87,110,7.4,0.444,0.126,0.215,6.4,19.4,12.8,7.4,1.5,1.5,16.4,17.8,-1.5,0.7,-0.8,-0.03,-4.9,-0.8,-5.8,-1.3
2.351004478,0.469767611,Offensive Centers,Al Horford,Active,horfoal01,114,104,19,0.568,0.072,0.216,8,22,15.1,14.7,1.3,2.9,11.2,19.6,38.2,29.8,68,0.157,0.8,2.2,3,26.2
2.850539383,0.568184616,Offensive Centers,Al Jefferson,Active,jeffeal01,108,105,20.6,0.527,0.005,0.231,9,25,16.9,9.7,1.2,3.3,8.2,25.5,36.6,32.6,69.3,0.129,-0.2,0.5,0.3,15
0.975396653,-0.994609299,Versatile Forwards,Al-Farouq Aminu,Active,aminual01,101,106,12.3,0.509,0.279,0.273,6.7,20.2,13.4,7.9,2.1,2,15.3,15.7,3.4,12.8,16.2,0.066,-1.7,1.4,-0.3,5
-1.197012537,-1.422607682,Shooting Wings,Alan Anderson,Active,anderal01,103,110,10.3,0.525,0.462,0.237,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,3.7,3.6,7.3,0.052,-0.6,-1.5,-2.1,-0.2
-1.150111861,-0.617893822,Shooting Wings,Alec Burks,Active,burksal01,104,110,14,0.527,0.199,0.412,3.5,11.2,7.3,13.9,1.5,0.6,12.6,22.9,5.8,3.6,9.4,0.071,-0.4,-1.6,-2,0.1
-1.000101749,-0.92339804,Shooting Wings,Alex Abrines,Active,abrinal01,112,111,9.9,0.566,0.716,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16,0.7,0.5,1.2,0.091,-0.6,-2.5,-3.1,-0.2
3.330290164,0.341573556,Defensive Centers,Alex Len,Active,lenal01,101,106,12.9,0.513,0.01,0.373,10.4,24.2,17.2,5.3,1,4.2,16.7,17.1,1.4,5.5,6.8,0.069,-3.9,1.3,-2.6,-0.8
-2.777299934,0.275491846,Scoring Wings,Alexey Shved,Inactive,shvedal01,99,108,12.8,0.489,0.438,0.323,2.8,9.6,6.1,23.2,1.7,1.2,15,22,0.6,2.5,3.1,0.046,-0.4,-1.3,-1.7,0.2
3.65874871,0.906740347,Defensive Centers,Alexis Ajinca,Active,ajincal01,104,106,14.8,0.545,0.034,0.249,10,23.5,16.6,6.1,1.3,3.8,15.2,19.4,2.7,4.3,6.9,0.091,-2.9,0.4,-2.5,-0.4
-0.173205654,-1.661423918,3-and-D Wings,Allen Crabbe,Active,crabbal01,112,111,10.9,0.571,0.443,0.174,1.2,9.8,5.5,7.1,1.3,0.7,8.6,15.1,5.4,2.4,7.8,0.083,-0.2,-1.1,-1.2,0.9
-0.636691107,-1.563891347,3-and-D Wings,Alonzo Gee,Active,geeal01,102,109,10.7,0.522,0.248,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,3.8,5.9,9.7,0.051,-1.6,0.2,-1.4,1.4
2.546383598,-0.119171574,Offensive Centers,Amar'e Stoudemire,Inactive,stoudam01,113,105,21.8,0.597,0.012,0.495,9,19.5,14.4,6.9,1.2,2.9,12.7,26.2,63.1,29.4,92.5,0.169,0.8,-0.2,0.5,16.8
3.210578856,0.818352225,Defensive Centers,Amir Johnson,Active,johnsam01,117,105,16,0.604,0.058,0.29,10.9,18.6,14.8,8.4,1.4,3.7,15.2,14.9,28.8,19.7,48.5,0.145,0.3,2.2,2.6,18.5
2.902806828,0.654539081,Defensive Centers,Anderson Varejao,Active,varejan01,114,102,15.6,0.543,0.012,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,22.2,24.2,46.4,0.148,-0.8,2.3,1.5,13.3
4.315324248,0.701169881,Defensive Centers,Andre Drummond,Active,drumman01,109,100,21.7,0.532,0.005,0.441,16.5,31.2,23.6,3.9,2.1,4.1,11,20.9,14.8,19.5,34.3,0.153,-0.9,1.5,0.6,7.2
-1.537785118,-0.610015601,Shooting Wings,Andre Iguodala,Active,iguodan01,110,105,16,0.553,0.275,0.386,3.2,14.1,8.7,20,2.4,1,14.9,18,44.9,41.5,86.4,0.125,1.4,1.6,3,42
-3.194778874,2.359740067,Floor Generals,Andre Miller,Inactive,millean02,110,108,17.4,0.532,0.068,0.38,4,9.9,6.9,34.7,2,0.4,16.9,20.6,69.5,31.2,100.8,0.12,1.7,-0.6,1.1,31.7
0.369022883,-1.714796913,3-and-D Wings,Andre Roberson,Active,roberan03,109,105,9.5,0.524,0.388,0.222,5.5,14,9.8,5.1,1.9,2.2,12.4,9.6,3,6.1,9.2,0.088,-1.5,1.8,0.3,2.9
1.385572331,-0.553616335,Versatile Forwards,Andrea Bargnani,Inactive,bargnan01,103,111,14.4,0.531,0.265,0.251,3.9,15,9.5,7.1,0.7,2.4,10.3,24,9.8,9.1,18.9,0.057,-0.6,-1.6,-2.2,-0.9
0.88698609,-0.192337321,Versatile Forwards,Andrei Kirilenko,Inactive,kirilan01,112,103,18.7,0.571,0.179,0.554,7.1,14.9,11,14.7,2.4,5,15.5,18.6,40.7,34.7,75.4,0.151,1.5,3.5,5,42.4
3.238506495,1.435963439,Defensive Centers,Andrew Bogut,Active,bogutan01,107,102,16.4,0.545,0.005,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16,17,19,30.9,49.9,0.123,-1.2,3.5,2.4,21.4
-2.94834153,1.442817759,Combo Guards,Andrew Goudelock,Inactive,goudean01,93,109,8.6,0.485,0.429,0.082,1.7,6.1,4,8.5,1.1,0.4,12.1,22.1,-0.2,0.2,0,0.003,-2.7,-3.8,-6.5,-0.5
-3.110456718,0.515082357,Combo Guards,Andrew Harrison,Active,harrian01,100,107,8.5,0.469,0.436,0.546,1.8,8.3,5,20.2,2,1.5,15.9,16.2,0,1.4,1.3,0.056,-2.5,0.4,-2.1,0
1.539737096,-0.401823546,Versatile Forwards,Andrew Nicholson,Active,nichoan01,99,108,12.4,0.524,0.175,0.171,5.2,18.4,11.8,5.1,0.9,1.9,11.4,20.5,0.7,3.2,3.9,0.048,-3.4,-1.8,-5.2,-3.2
-0.520280522,-1.096249665,3-and-D Wings,Andrew Wiggins,Active,wiggian01,105,114,15.7,0.535,0.149,0.399,4.5,8.7,6.6,10.4,1.4,1.2,10.7,25.7,8.2,1.4,9.6,0.058,0.1,-2.3,-2.1,-0.3
1.313740526,-0.839188776,Versatile Forwards,Anthony Bennett,Active,bennean01,94,109,10.2,0.457,0.215,0.279,7.6,20.5,13.9,6.5,1.5,1.1,12.1,19,-0.9,1.4,0.5,0.012,-4,-1.6,-5.6,-1.7
3.174246196,-0.390289197,Offensive Centers,Anthony Davis,Active,davisan02,115,103,26.5,0.575,0.043,0.398,8.3,25,16.5,9.5,2,5.7,8.5,27.4,29.1,16.2,45.3,0.202,1.9,2.2,4.1,16.6
-0.85958582,-1.031638043,Shooting Wings,Anthony Morrow,Active,morroan01,114,113,13.2,0.568,0.442,0.156,2.8,8.4,5.6,6.4,1.3,0.5,7.6,18.2,19.1,3.7,22.8,0.09,1,-2.6,-1.5,1.4
0.91453709,-1.225338052,Versatile Forwards,Anthony Tolliver,Active,tollian01,112,109,11.1,0.555,0.605,0.236,4.8,15.2,9.9,6.5,1,1.1,10.2,13.7,11.1,7.3,18.4,0.088,-0.2,-0.5,-0.7,3.4
-1.376138379,-0.421161223,Shooting Wings,Archie Goodwin,Active,goodwar01,95,110,11.1,0.5,0.224,0.429,3.9,11.3,7.5,13.1,1.5,1.2,16.9,22.2,-0.8,1.4,0.6,0.013,-3.2,-1.3,-4.5,-1.4
