,Player_ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_ID1,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
0,priceaj01,261.0,25.0,15.1,2.1,5.5,0.38,0.8,2.6,0.316,1.3,2.9,0.439,0.456,0.8,1.1,0.742,0.3,1.2,1.4,2.2,0.5,0.0,0.9,0.9,5.8,priceaj01,261.0,3929.0,0.38,18.3,0.522,0.1,0.113,0.126,0.184,0.478,0.439,0.583,0.393,0.44,0.389,0.316,0.178,0.0,0.0,0.739,0.152,0.324,7.0,0.0
1,brookaa01,594.0,182.0,21.9,3.7,9.0,0.413,1.3,3.6,0.368,2.4,5.3,0.444,0.488,1.5,1.8,0.839,0.4,1.4,1.8,3.2,0.6,0.1,1.6,2.0,10.3,brookaa01,594.0,13016.0,0.413,15.2,0.595,0.241,0.14,0.091,0.121,0.405,0.444,0.506,0.392,0.427,0.393,0.368,0.167,0.001,3.0,0.663,0.141,0.413,43.0,2.0
2,gordoaa01,182.0,94.0,23.3,3.4,7.5,0.45,0.6,2.1,0.289,2.7,5.3,0.514,0.491,1.4,2.2,0.669,1.5,3.6,5.2,1.5,0.7,0.6,0.9,1.9,8.8,gordoaa01,182.0,4238.0,0.45,11.6,0.717,0.394,0.111,0.093,0.122,0.283,0.514,0.661,0.351,0.333,0.315,0.289,0.49,0.111,140.0,0.919,0.346,0.301,8.0,0.0
3,paynead01,96.0,24.0,13.7,1.7,4.2,0.399,0.1,0.5,0.235,1.6,3.7,0.422,0.413,0.6,0.9,0.678,0.8,2.3,3.1,0.7,0.4,0.3,0.9,1.9,4.1,paynead01,96.0,1317.0,0.399,11.5,0.874,0.252,0.228,0.116,0.277,0.126,0.422,0.529,0.37,0.362,0.393,0.235,0.631,0.082,27.0,0.917,0.196,0.2,0.0,0.0
4,horfoal01,623.0,619.0,33.4,6.1,11.5,0.529,0.3,0.8,0.344,5.8,10.7,0.543,0.541,1.9,2.5,0.747,2.3,6.4,8.7,2.9,0.8,1.2,1.6,2.4,14.4,horfoal01,623.0,20823.0,0.529,10.0,0.928,0.311,0.223,0.131,0.263,0.072,0.543,0.725,0.439,0.436,0.469,0.344,0.714,0.091,620.0,0.977,0.254,0.328,1.0,0.0
5,jeffeal01,870.0,650.0,29.6,6.9,13.9,0.499,0.0,0.1,0.127,6.9,13.8,0.501,0.499,2.3,3.2,0.709,2.3,6.3,8.6,1.5,0.7,1.2,1.4,2.6,16.1,jeffeal01,870.0,25716.0,0.499,7.8,0.995,0.323,0.332,0.197,0.143,0.005,0.501,0.656,0.467,0.388,0.383,0.127,0.542,0.051,573.0,0.875,0.095,0.167,15.0,0.0
6,aminual01,496.0,279.0,23.8,2.7,6.3,0.426,0.6,1.7,0.319,2.1,4.5,0.467,0.47,1.2,1.7,0.73,1.4,4.2,5.6,1.2,0.9,0.6,1.3,1.9,7.1,aminual01,496.0,11822.0,0.426,11.4,0.721,0.366,0.172,0.051,0.132,0.279,0.467,0.611,0.325,0.327,0.306,0.319,0.621,0.1,282.0,0.96,0.415,0.344,3.0,0.0
7,anderal01,323.0,66.0,20.9,2.6,6.4,0.404,1.0,3.0,0.343,1.6,3.5,0.456,0.483,1.2,1.5,0.817,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.4,anderal01,323.0,6751.0,0.404,16.2,0.538,0.202,0.108,0.096,0.132,0.462,0.456,0.647,0.338,0.402,0.297,0.343,0.479,0.02,38.0,0.866,0.352,0.365,9.0,0.0
8,burksal01,280.0,42.0,22.4,3.6,8.3,0.432,0.6,1.7,0.362,3.0,6.7,0.45,0.468,2.6,3.4,0.748,0.7,2.2,2.8,1.8,0.6,0.2,1.4,2.0,10.3,burksal01,280.0,6284.0,0.432,12.0,0.801,0.318,0.18,0.075,0.227,0.199,0.45,0.605,0.329,0.366,0.356,0.362,0.358,0.039,84.0,0.78,0.274,0.402,15.0,0.0
9,abrinal01,46.0,0.0,14.0,1.7,4.4,0.393,1.2,3.1,0.375,0.5,1.2,0.439,0.527,0.8,0.9,0.878,0.3,0.8,1.1,0.5,0.5,0.1,0.5,1.5,5.4,abrinal01,46.0,643.0,0.393,20.5,0.284,0.109,0.055,0.05,0.07,0.716,0.439,0.5,0.455,0.2,0.5,0.375,0.6,0.02,4.0,0.963,0.208,0.367,1.0,0.0
