Player,Age,Height,Weight,Pos,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,Fouls,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM
aaron brooks,32,73,161,PG,21.9,3.7,9,0.413,1.3,3.6,0.368,2.4,5.4,0.444,0.488,1.5,1.8,0.839,0.4,1.4,1.8,3.2,0.6,0.1,1.6,2,10.3,15.2,0.595,0.241,0.14,0.091,0.121,0.405,0.506,0.392,0.427,0.393,0.167,0.001,0.664,0.141,0.414,13.5,0.525,0.405,0.201,2.1,6.9,4.5,23.8,1.4,0.5,14.4,23.3,0,-2.4,-1.7
aaron gordon,21,81,220,SF,23.2,3.4,7.4,0.451,0.6,2.1,0.293,2.7,5.3,0.514,0.492,1.4,2.1,0.668,1.5,3.6,5.1,1.5,0.7,0.6,0.9,1.9,8.8,11.7,0.716,0.392,0.111,0.094,0.122,0.284,0.663,0.358,0.328,0.309,0.494,0.112,0.919,0.351,0.301,14.4,0.522,0.284,0.287,7.1,17.8,12.3,9.8,1.4,2,9.6,17.8,0,0.4,-0.2
aaron harrison,22,78,210,SG,4.2,0.2,0.9,0.217,0.1,0.5,0.25,0.1,0.4,0.182,0.283,0.2,0.5,0.429,0.2,0.5,0.7,0.2,0.2,0,0.2,0.5,0.7,18.1,0.478,0.174,0.043,0,0.261,0.522,0.5,0,0,0,1,0,0.667,0.417,0.2,3.3,0.326,0.522,0.609,3.9,14,8.9,6,2.7,0,12.1,13.6,0,-0.2,-6.4
adreian payne,25,82,237,PF,13.7,1.7,4.2,0.399,0.1,0.5,0.235,1.6,3.7,0.422,0.413,0.6,0.9,0.678,0.8,2.3,3.1,0.7,0.4,0.3,0.9,1.9,4.1,11.5,0.874,0.252,0.228,0.116,0.277,0.126,0.529,0.37,0.362,0.393,0.631,0.082,0.917,0.196,0.2,7.4,0.444,0.126,0.215,6.4,19.4,12.8,7.4,1.5,1.5,16.4,17.8,0,-0.8,-5.8
al horford,30,82,245,C,33.4,6.1,11.6,0.529,0.3,0.8,0.341,5.8,10.8,0.543,0.541,1.9,2.5,0.747,2.3,6.4,8.8,2.9,0.8,1.2,1.6,2.4,14.4,10,0.93,0.312,0.223,0.131,0.263,0.07,0.726,0.439,0.436,0.469,0.715,0.091,0.982,0.257,0.328,19,0.568,0.07,0.217,8.1,22.1,15.1,14.7,1.3,2.9,11.1,19.6,0,2.2,3
al jefferson,32,82,289,C,29.6,6.9,13.9,0.499,0,0.1,0.127,6.9,13.9,0.501,0.499,2.3,3.2,0.709,2.3,6.3,8.7,1.5,0.7,1.2,1.4,2.6,16.2,7.8,0.995,0.323,0.332,0.197,0.143,0.005,0.656,0.467,0.388,0.382,0.542,0.051,0.875,0.095,0.167,20.6,0.527,0.005,0.232,9,25,16.9,9.7,1.2,3.3,8.2,25.5,0,0.6,0.3
al-farouq aminu,26,81,220,SF,23.8,2.7,6.2,0.425,0.5,1.7,0.317,2.1,4.5,0.466,0.469,1.2,1.7,0.729,1.4,4.2,5.6,1.2,1,0.6,1.3,1.9,7.1,11.3,0.723,0.366,0.173,0.052,0.132,0.277,0.612,0.323,0.327,0.307,0.622,0.1,0.959,0.415,0.342,12.3,0.507,0.277,0.272,6.7,20.2,13.4,7.9,2.1,2,15.3,15.6,0,1.4,-0.3
alan anderson,34,78,220,SF,21,2.6,6.5,0.404,1,3,0.345,1.6,3.5,0.455,0.483,1.2,1.5,0.816,0.5,1.7,2.2,1.2,0.6,0.1,0.9,1.8,7.5,16.2,0.539,0.201,0.109,0.096,0.132,0.461,0.644,0.338,0.402,0.297,0.48,0.02,0.866,0.354,0.365,10.3,0.525,0.461,0.237,2.6,9.7,6.1,8.9,1.4,0.4,11.3,17.7,0,-1.5,-2.1
alan williams,24,80,260,PF,6.5,1,2.1,0.492,0,0,0,1,2.1,0.492,0.492,0.7,1.2,0.568,1.3,1.7,3,0.2,0.4,0.5,0.5,1.4,2.8,3.7,1,0.587,0.333,0.079,0,0,0.514,0.476,0.4,0,0.419,0.016,0,0,0,19.9,0.523,0,0.587,21.4,30.3,25.7,4.9,2.8,5.9,16.8,20.8,0,1.2,-1.5
alec burks,25,78,214,SG,22.5,3.6,8.3,0.433,0.6,1.7,0.361,3,6.7,0.451,0.469,2.6,3.5,0.748,0.7,2.2,2.9,1.9,0.6,0.2,1.4,2,10.4,12,0.801,0.32,0.181,0.074,0.227,0.199,0.609,0.328,0.355,0.357,0.359,0.039,0.788,0.274,0.4,14.1,0.528,0.199,0.416,3.5,11.2,7.3,14,1.5,0.6,12.5,22.9,0,-1.6,-1.9
