,Age,Height,Weight,Pos,cleaned_player
0,32,6-1,161,PG,aaron brooks
1,21,6-9,220,SF,aaron gordon
2,22,6-6,210,SG,aaron harrison
3,25,6-10,237,PF,adreian payne
4,30,6-10,245,C,al horford
5,32,6-10,289,C,al jefferson
6,26,6-9,220,SF,al-farouq aminu
7,34,6-6,220,SF,alan anderson
8,24,6-8,260,PF,alan williams
9,25,6-6,214,SG,alec burks
10,23,6-6,190,SG,alex abrines
11,23,7-1,260,C,alex len
12,28,7-2,248,C,alexis ajinca
13,24,6-6,215,SG,allen crabbe
14,29,6-6,225,SF,alonzo gee
15,29,6-9,240,PF,amir johnson
16,34,6-11,273,C,anderson varejao
17,23,6-11,279,C,andre drummond
18,33,6-6,215,SF,andre iguodala
19,25,6-7,210,SF,andre roberson
20,32,7-1,260,C,andrew bogut
21,22,6-6,213,SG,andrew harrison
22,27,6-9,250,PF,andrew nicholson
23,21,6-8,199,SF,andrew wiggins
24,23,6-8,235,PF,anthony bennett
25,24,6-7,211,SF,anthony brown
26,23,6-11,253,C,anthony davis
27,31,6-5,210,SG,anthony morrow
28,31,6-8,240,PF,anthony tolliver
29,22,6-5,205,SG,archie goodwin
30,29,6-9,255,C,arinze onuaku
31,30,6-10,260,C,aron baynes
32,31,6-5,210,SG,arron afflalo
33,24,6-4,200,SG,austin rivers
34,26,6-2,180,SG,avery bradley
35,24,6-5,195,SG,ben mclemore
36,34,6-3,205,PG,beno udrih
37,24,6-9,255,C,bismack biyombo
38,27,6-10,251,PF,blake griffin
39,28,7-3,290,C,boban marjanovic
40,32,6-2,175,PG,bobby brown
41,22,6-11,246,PF,bobby portis
42,27,6-8,225,SF,bojan bogdanovic
43,34,6-8,250,PF,boris diaw
44,23,6-5,207,SG,bradley beal
45,29,6-10,210,PF,brandan wright
46,31,6-8,250,PF,brandon bass
47,19,6-9,190,SF,brandon ingram
48,27,6-1,170,PG,brandon jennings
49,25,6-3,195,SG,brandon knight
50,31,6-6,225,SG,brandon rush
51,31,6-1,173,PG,brian roberts
52,24,6-2,165,PG,briante weber
53,28,7-1,268,C,brook lopez
54,21,6-9,205,SF,bruno caboclo
55,23,6-3,190,SG,bryn forbes
56,23,6-4,214,SG,buddy hield
57,22,6-3,185,PG,cameron payne
58,22,6-7,203,SF,caris levert
59,32,6-8,240,SF,carmelo anthony
60,28,6-10,230,SF,chandler parsons
61,33,6-11,255,C,channing frye
62,24,6-2,185,PG,chasson randle
63,20,6-9,220,PF,cheick diallo
64,20,6-10,245,C,chinanu onuaku
65,38,6-10,245,C,chris andersen
66,22,6-9,215,PF,chris mccullough
67,31,6-1,175,PG,chris paul
68,21,6-11,220,PF,christian wood
69,22,6-10,240,C,clint capela
70,24,7-1,240,PF,cody zeller
71,28,6-11,250,C,cole aldrich
72,30,6-9,186,SF,corey brewer
73,25,6-3,190,SG,cory joseph
74,31,6-5,200,SG,courtney lee
75,24,6-9,266,C,cristiano felicio
76,20,6-5,195,PG,dangelo russell
77,29,6-1,183,PG,dj augustin
78,21,7-1,245,C,damian jones
79,26,6-3,195,PG,damian lillard
80,30,6-10,228,SF,damjan rudez
81,23,6-11,245,C,daniel ochefu
82,28,6-10,225,SF,danilo gallinari
83,29,6-6,215,SG,danny green
84,29,6-8,230,SF,dante cunningham
85,21,6-6,190,PG,dante exum
86,23,6-7,215,SG,danuel house
87,22,6-10,223,PF,dario saric
88,28,6-9,235,PF,darrell arthur
89,29,6-1,175,PG,darren collison
90,23,6-6,205,SG,darrun hilliard
91,33,6-9,245,PF,david lee
92,36,6-9,250,PF,david west
93,24,6-10,210,PF,davis bertans
94,28,6-11,265,C,deandre jordan
95,28,6-6,209,SG,deandre liggins
96,22,6-6,210,SF,deandre bembry
97,27,6-7,220,SG,demar derozan
98,26,6-11,270,C,demarcus cousins
99,30,6-8,212,SF,demarre carroll
100,20,6-5,170,PG,dejounte murray
101,22,6-1,201,PG,demetrius jackson
102,23,6-1,172,PG,dennis schroder
103,23,6-6,212,SG,denzel valentine
104,32,6-3,200,PG,deron williams
105,25,6-10,265,PF,derrick favors
106,28,6-3,190,PG,derrick rose
107,25,6-8,240,PF,derrick williams
108,20,6-6,206,SG,devin booker
109,33,6-3,185,PG,devin harris
110,27,7-1,245,C,dewayne dedmon
111,20,6-10,240,C,deyonta davis
112,20,6-11,255,C,diamond stone
113,25,6-4,220,SG,dion waiters
114,38,7-1,245,PF,dirk nowitzki
115,20,6-11,240,PF,domantas sabonis
116,26,7-1,222,PF,donatas motiejunas
117,23,6-8,220,PF,dorian finney-smith
118,25,6-8,219,SF,doug mcdermott
119,19,7-1,225,PF,dragan bender
120,26,6-7,230,PF,draymond green
121,31,6-11,265,C,dwight howard
122,25,6-11,240,C,dwight powell
123,35,6-4,220,SG,dwyane wade
124,27,6-4,191,SG,etwaun moore
125,27,6-10,245,PF,ed davis
126,22,6-4,185,PG,elfrid payton
127,20,6-5,200,PG,emmanuel mudiay
128,24,6-11,245,C,enes kanter
129,27,6-1,205,PG,eric bledsoe
130,28,6-4,215,SG,eric gordon
131,29,6-10,235,PF,ersan ilyasova
132,24,6-7,205,SG,evan fournier
133,28,6-7,220,SG,evan turner
134,23,7-1,240,C,frank kaminsky
135,22,6-1,195,PG,fred vanvleet
136,30,6-6,195,SG,garrett temple
137,22,6-4,210,SG,gary harris
138,32,6-4,210,SG,gary neal
139,30,6-3,188,PG,george hill
140,23,6-8,230,PF,georges niang
141,19,7-1,240,C,georgios papagiannis
142,31,6-7,205,SG,gerald green
143,29,6-5,215,SG,gerald henderson
144,22,6-11,222,SG,giannis antetokounmpo
145,30,6-3,190,PG,goran dragic
146,26,6-8,226,SF,gordon hayward
147,27,6-11,240,PF,gorgui dieng
148,26,6-11,265,C,greg monroe
149,30,6-6,217,PG,greivis vasquez
150,24,6-8,225,PF,harrison barnes
151,27,7-1,265,C,hassan whiteside
152,20,6-11,245,PF,henry ellenson
153,25,6-8,206,SG,hollis thompson
154,25,6-3,175,SG,ian clark
155,30,6-11,262,C,ian mahinmi
156,26,6-5,220,SG,iman shumpert
157,25,6-1,201,SG,isaiah canaan
158,28,5-9,185,PG,isaiah thomas
159,21,6-4,213,PG,isaiah whitehead
160,28,6-1,175,PG,ish smith
161,19,7-1,240,C,ivica zubac
162,32,6-1,185,PG,jj barea
163,26,6-9,227,PF,jamychal green
164,29,7-1,270,C,javale mcgee
165,21,6-8,250,PF,jabari parker
166,26,6-6,235,SF,jae crowder
167,21,6-11,275,C,jahlil okafor
168,22,6-9,210,SF,jake layman
169,21,7-1,230,C,jakob poeltl
170,36,6-5,195,SG,jamal crawford
171,19,6-4,207,SG,jamal murray
172,35,6-1,190,PG,jameer nelson
173,27,6-5,220,PG,james harden
174,29,6-9,250,PF,james johnson
175,36,6-8,218,SF,james jones
176,24,6-9,240,PF,james michael mcadoo
177,21,6-6,215,SG,james young
178,31,6-7,225,PF,jared dudley
179,24,6-9,260,PF,jared sullinger
180,22,6-10,239,PF,jarell martin
181,23,6-9,255,PF,jarnell stokes
182,30,7-1,240,C,jason smith
183,39,6-2,185,SG,jason terry
184,20,6-7,225,SF,jaylen brown
185,30,6-9,235,SF,jeff green
186,28,6-2,186,PG,jeff teague
187,26,7-1,231,C,jeff withey
188,22,6-9,210,SF,jerami grant
189,24,6-5,185,SG,jeremy lamb
190,28,6-3,200,PG,jeremy lin
191,24,6-4,198,PG,jerian grant
192,28,6-3,200,PG,jerryd bayless
193,27,6-7,231,SF,jimmy butler
194,31,6-11,230,C,joakim noah
195,29,6-4,210,SG,jodie meeks
196,25,6-6,219,SG,joe harris
197,29,6-8,226,SF,joe ingles
198,35,6-7,240,SF,joe johnson
199,24,6-2,180,PG,joe young
200,34,6-9,245,C,joel anthony
201,23,6-9,235,PF,joel bolomboy
202,22,7-1,250,C,joel embiid
203,25,6-11,220,C,joffrey lauvergne
204,26,6-11,229,C,john henson
205,25,6-4,215,SG,john jenkins
206,34,5-11,166,PG,john lucas iii
207,26,6-4,210,PG,john wall
208,27,6-10,228,PF,jon leuer
209,29,6-10,231,PF,jonas jerebko
210,24,7-1,255,C,jonas valanciunas
211,29,6-2,185,PG,jonathan gibson
212,27,6-6,195,SG,jonathon simmons
213,24,6-5,194,SG,jordan clarkson
214,30,6-2,180,PG,jordan farmar
215,29,6-10,240,C,jordan hill
216,25,6-5,179,SG,jordan mcrae
217,22,6-8,235,PF,jordan mickey
218,35,6-3,200,PG,jose calderon
219,25,6-7,230,PF,josh huestis
220,29,6-10,240,PF,josh mcroberts
221,23,6-6,200,SG,josh richardson
222,26,6-4,205,PG,jrue holiday
223,21,6-9,230,PF,juan hernangomez
224,22,6-9,250,PF,julius randle
225,23,6-6,228,SF,justin anderson
