Player,Age,Height,Weight
AJ Hammons,24,7-1,260
Aaron Brooks,32,6-1,161
Aaron Gordon,21,6-9,220
Aaron Harrison,22,6-6,210
Adreian Payne,25,6-10,237
Al Horford,30,6-10,245
Al Jefferson,32,6-10,289
Al-Farouq Aminu,26,6-9,220
Alan Anderson,34,6-6,220
Alan Williams,24,6-8,260
Alec Burks,25,6-6,214
Alex Abrines,23,6-6,190
Alex Len,23,7-1,260
Alexis Ajinca,28,7-2,248
Allen Crabbe,24,6-6,215
Alonzo Gee,29,6-6,225
Amir Johnson,29,6-9,240
Anderson Varejao,34,6-11,273
Andre Drummond,23,6-11,279
Andre Iguodala,33,6-6,215
Andre Roberson,25,6-7,210
Andrew Bogut,32,7-1,260
Andrew Harrison,22,6-6,213
Andrew Nicholson,27,6-9,250
Andrew Wiggins,21,6-8,199
Anthony Bennett,23,6-8,235
Anthony Brown,24,6-7,211
Anthony Davis,23,6-11,253
Anthony Morrow,31,6-5,210
Anthony Tolliver,31,6-8,240
Archie Goodwin,22,6-5,205
Arinze Onuaku,29,6-9,255
Aron Baynes,30,6-10,260
Arron Afflalo,31,6-5,210
Austin Rivers,24,6-4,200
Avery Bradley,26,6-2,180
Ben McLemore,24,6-5,195
Beno Udrih,34,6-3,205
Bismack Biyombo,24,6-9,255
Blake Griffin,27,6-10,251
Boban Marjanovic,28,7-3,290
Bobby Brown,32,6-2,175
Bobby Portis,22,6-11,246
Bojan Bogdanovic,27,6-8,225
Boris Diaw,34,6-8,250
Bradley Beal,23,6-5,207
Brandan Wright,29,6-10,210
Brandon Bass,31,6-8,250
Brandon Ingram,19,6-9,190
Brandon Jennings,27,6-1,170
Brandon Knight,25,6-3,195
Brandon Rush,31,6-6,225
Brian Roberts,31,6-1,173
Briante Weber,24,6-2,165
Brook Lopez,28,7-1,268
Bruno Caboclo,21,6-9,205
Bryn Forbes,23,6-3,190
Buddy Hield,23,6-4,214
CJ McCollum,25,6-3,190
CJ Miles,29,6-6,225
CJ Watson,32,6-2,175
CJ Wilcox,26,6-5,195
Cameron Payne,22,6-3,185
Caris LeVert,22,6-7,203
Carmelo Anthony,32,6-8,240
Chandler Parsons,28,6-10,230
Channing Frye,33,6-11,255
Chasson Randle,24,6-2,185
Cheick Diallo,20,6-9,220
Chinanu Onuaku,20,6-10,245
Chris Andersen,38,6-10,245
Chris McCullough,22,6-9,215
Chris Paul,31,6-1,175
Christian Wood,21,6-11,220
Clint Capela,22,6-10,240
Cody Zeller,24,7-1,240
Cole Aldrich,28,6-11,250
Corey Brewer,30,6-9,186
Cory Joseph,25,6-3,190
Courtney Lee,31,6-5,200
Cristiano Felicio,24,6-9,266
D'Angelo Russell,20,6-5,195
D.J. Augustin,29,6-1,183
Damian Jones,21,7-1,245
Damian Lillard,26,6-3,195
Damjan Rudez,30,6-10,228
Daniel Ochefu,23,6-11,245
Danilo Gallinari,28,6-10,225
Danny Green,29,6-6,215
Dante Cunningham,29,6-8,230
Dante Exum,21,6-6,190
Danuel House,23,6-7,215
Dario Saric,22,6-10,223
Darrell Arthur,28,6-9,235
Darren Collison,29,6-1,175
Darrun Hilliard,23,6-6,205
David Lee,33,6-9,245
David West,36,6-9,250
Davis Bertans,24,6-10,210
DeAndre Jordan,28,6-11,265
DeAndre Liggins,28,6-6,209
DeAndre' Bembry,22,6-6,210
DeMar DeRozan,27,6-7,220
DeMarcus Cousins,26,6-11,270
DeMarre Carroll,30,6-8,212
Dejounte Murray,20,6-5,170
Demetrius Jackson,22,6-1,201
Dennis Schroder,23,6-1,172
Denzel Valentine,23,6-6,212
Deron Williams,32,6-3,200
Derrick Favors,25,6-10,265
"Derrick Jones, Jr.",19,6-7,190
Derrick Rose,28,6-3,190
Derrick Williams,25,6-8,240
Devin Booker,20,6-6,206
Devin Harris,33,6-3,185
Dewayne Dedmon,27,7-1,245
Deyonta Davis,20,6-10,240
Diamond Stone,20,6-11,255
Dion Waiters,25,6-4,220
Dirk Nowitzki,38,7-1,245
Domantas Sabonis,20,6-11,240
Donatas Motiejunas,26,7-1,222
Dorian Finney-Smith,23,6-8,220
Doug McDermott,25,6-8,219
Dragan Bender,19,7-1,225
Draymond Green,26,6-7,230
Dwight Howard,31,6-11,265
Dwight Powell,25,6-11,240
Dwyane Wade,35,6-4,220
E'Twaun Moore,27,6-4,191
Ed Davis,27,6-10,245
Edy Tavares,24,7-3,260
Elfrid Payton,22,6-4,185
Emmanuel Mudiay,20,6-5,200
Enes Kanter,24,6-11,245
Eric Bledsoe,27,6-1,205
Eric Gordon,28,6-4,215
Ersan Ilyasova,29,6-10,235
Evan Fournier,24,6-7,205
Evan Turner,28,6-7,220
Frank Kaminsky,23,7-1,240
Fred VanVleet,22,6-1,195
Garrett Temple,30,6-6,195
Gary Harris,22,6-4,210
Gary Neal,32,6-4,210
George Hill,30,6-3,188
Georges Niang,23,6-8,230
Georgios Papagiannis,19,7-1,240
Gerald Green,31,6-7,205
Gerald Henderson,29,6-5,215
Giannis Antetokounmpo,22,6-11,222
Glenn Robinson III,23,6-6,222
Goran Dragic,30,6-3,190
Gordon Hayward,26,6-8,226
Gorgui Dieng,27,6-11,240
Greg Monroe,26,6-11,265
Greivis Vasquez,30,6-6,217
Harrison Barnes,24,6-8,225
Hassan Whiteside,27,7-1,265
Henry Ellenson,20,6-11,245
Hollis Thompson,25,6-8,206
Ian Clark,25,6-3,175
Ian Mahinmi,30,6-11,262
Iman Shumpert,26,6-5,220
Isaiah Canaan,25,6-1,201
Isaiah Thomas,28,5-9,185
Isaiah Whitehead,21,6-4,213
Ish Smith,28,6-1,175
Ivica Zubac,19,7-1,240
J.J. Barea,32,6-1,185
JJ Redick,32,6-4,190
JR Smith,31,6-6,225
JaMychal Green,26,6-9,227
JaVale McGee,29,7-1,270
Jabari Parker,21,6-8,250
Jae Crowder,26,6-6,235
Jahlil Okafor,21,6-11,275
Jake Layman,22,6-9,210
Jakob Poeltl,21,7-1,230
Jamal Crawford,36,6-5,195
Jamal Murray,19,6-4,207
Jameer Nelson,35,6-1,190
James Ennis III,26,6-7,210
James Harden,27,6-5,220
James Johnson,29,6-9,250
James Jones,36,6-8,218
James Michael McAdoo,24,6-9,240
James Young,21,6-6,215
Jared Dudley,31,6-7,225
Jared Sullinger,24,6-9,260
Jarell Martin,22,6-10,239
Jarnell Stokes,23,6-9,255
Jason Smith,30,7-1,240
Jason Terry,39,6-2,185
Jaylen Brown,20,6-7,225
Jeff Green,30,6-9,235
Jeff Teague,28,6-2,186
Jeff Withey,26,7-1,231
Jerami Grant,22,6-9,210
Jeremy Lamb,24,6-5,185
Jeremy Lin,28,6-3,200
Jerian Grant,24,6-4,198
Jerryd Bayless,28,6-3,200
Jimmy Butler,27,6-7,231
Joakim Noah,31,6-11,230
Jodie Meeks,29,6-4,210
Joe Harris,25,6-6,219
Joe Ingles,29,6-8,226
Joe Johnson,35,6-7,240
Joe Young,24,6-2,180
Joel Anthony,34,6-9,245
Joel Bolomboy,23,6-9,235
Joel Embiid,22,7-1,250
Joffrey Lauvergne,25,6-11,220
John Henson,26,6-11,229
John Jenkins,25,6-4,215
John Lucas III,34,5-11,166
John Wall,26,6-4,210
Johnny O'Bryant III,23,6-9,257
Jon Leuer,27,6-10,228
Jonas Jerebko,29,6-10,231
Jonas Valanciunas,24,7-1,255
Jonathan Gibson,29,6-2,185
Jonathon Simmons,27,6-6,195
Jordan Clarkson,24,6-5,194
Jordan Farmar,30,6-2,180
Jordan Hill,29,6-10,240
Jordan McRae,25,6-5,179
Jordan Mickey,22,6-8,235
Jose Calderon,35,6-3,200
Josh Huestis,25,6-7,230
Josh McRoberts,29,6-10,240
Josh Richardson,23,6-6,200
Jrue Holiday,26,6-4,205
Juan Hernangomez,21,6-9,230
Julius Randle,22,6-9,250
Justin Anderson,23,6-6,228
Justin Hamilton,26,7-1,255
Justin Holiday,27,6-6,185
Justise Winslow,20,6-7,225
Jusuf Nurkic,22,7-1,280
KJ McDaniels,24,6-6,205
Karl-Anthony Towns,21,7-1,244
Kawhi Leonard,25,6-7,230
Kay Felder,21,5-9,176
Kelly Olynyk,25,7-1,238
Kelly Oubre Jr.,21,6-7,205
Kemba Walker,26,6-1,184
Kenneth Faried,27,6-8,228
Kent Bazemore,27,6-5,201
Kentavious Caldwell-Pope,23,6-5,205
Kevin Durant,28,6-9,240
Kevin Love,28,6-10,251
Kevin Seraphin,27,6-10,278
Kevon Looney,21,6-9,220
Khris Middleton,25,6-8,234
Klay Thompson,27,6-7,215
Kosta Koufos,27,7-1,265
Kris Dunn,22,6-4,205
Kris Humphries,32,6-9,235
Kristaps Porzingis,21,7-3,240
Kyle Anderson,23,6-9,230
Kyle Korver,35,6-7,212
Kyle Lowry,30,6-1,205
Kyle O'Quinn,26,6-10,250
Kyle Singler,28,6-8,228
Kyle Wiltjer,24,6-10,240
Kyrie Irving,24,6-3,193
LaMarcus Aldridge,31,6-11,260
Lamar Patterson,25,6-5,225
