,Player,Pos
0,Alex Abrines,SG
1,Quincy Acy,PF
4,Steven Adams,C
5,Arron Afflalo,SG
6,Alexis Ajinca,C
7,Cole Aldrich,C
8,LaMarcus Aldridge,PF
9,Lavoy Allen,PF
10,Tony Allen,SG
11,Al-Farouq Aminu,SF
12,Chris Andersen,C
13,Alan Anderson,SF
14,Justin Anderson,SF
15,Kyle Anderson,SG
16,Ryan Anderson,PF
17,Giannis Antetokounmpo,SG
18,Carmelo Anthony,SF
19,Joel Anthony,C
20,Trevor Ariza,SF
21,Darrell Arthur,PF
22,Omer Asik,C
23,D.J. Augustin,PG
24,Luke Babbitt,SF
25,Ron Baker,SG
26,Wade Baldwin,PG
27,Leandro Barbosa,SG
28,J.J. Barea,PG
29,Harrison Barnes,PF
30,Matt Barnes,SF
31,Will Barton,SG
32,Brandon Bass,PF
33,Nicolas Batum,SG
34,Jerryd Bayless,PG
35,Aron Baynes,C
36,Kent Bazemore,SF
37,Bradley Beal,SG
38,Malik Beasley,SG
39,Michael Beasley,SF
40,Marco Belinelli,SG
41,DeAndre' Bembry,SF
42,Dragan Bender,PF
43,Anthony Bennett,PF
44,Davis Bertans,PF
45,Patrick Beverley,SG
46,Bismack Biyombo,C
47,Nemanja Bjelica,PF
48,Tarik Black,C
49,Eric Bledsoe,PG
50,Bojan Bogdanovic,SF
51,Andrew Bogut,C
52,Joel Bolomboy,PF
53,Devin Booker,SG
54,Trevor Booker,PF
55,Avery Bradley,SG
56,Corey Brewer,SF
57,Malcolm Brogdon,SG
58,Aaron Brooks,PG
59,Anthony Brown,SF
62,Bobby Brown,PG
63,Jaylen Brown,SF
64,Nicolas Brussino,SF
65,Reggie Bullock,SF
66,Trey Burke,PG
67,Alec Burks,SG
68,Jimmy Butler,SF
69,Bruno Caboclo,SF
70,Jose Calderon,PG
71,Kentavious Caldwell-Pope,SG
72,Isaiah Canaan,SG
73,Clint Capela,C
74,DeMarre Carroll,SF
75,Vince Carter,SG
76,Michael Carter-Williams,PG
77,Omri Casspi,SF
78,Willie Cauley-Stein,C
79,Tyson Chandler,C
80,Wilson Chandler,SF
81,Marquese Chriss,PF
82,Rakeem Christmas,PF
83,Semaj Christon,PG
84,Ian Clark,SG
85,Jordan Clarkson,SG
86,Darren Collison,PG
87,Nick Collison,PF
88,Mike Conley,PG
89,Pat Connaughton,SG
90,DeMarcus Cousins,C
91,Robert Covington,SF
92,Allen Crabbe,SG
93,Jamal Crawford,SG
94,Jae Crowder,SF
95,Dante Cunningham,SF
96,Seth Curry,PG
97,Stephen Curry,PG
98,Troy Daniels,SG
99,Anthony Davis,C
100,Deyonta Davis,C
101,Ed Davis,PF
102,Dewayne Dedmon,C
103,Sam Dekker,SF
104,Malcolm Delaney,PG
105,Matthew Dellavedova,PG
106,Luol Deng,SF
107,DeMar DeRozan,SG
108,Cheick Diallo,PF
109,Boris Diaw,PF
110,Gorgui Dieng,PF
111,Spencer Dinwiddie,PG
112,Toney Douglas,PG
113,Goran Dragic,PG
114,Andre Drummond,C
115,Jared Dudley,PF
116,Mike Dunleavy,SF
119,Kris Dunn,PG
120,Kevin Durant,SF
121,Henry Ellenson,PF
122,Wayne Ellington,SG
123,Monta Ellis,SG
124,Joel Embiid,C
125,James Ennis,SF
126,Tyler Ennis,PG
127,Tyreke Evans,SG
128,Dante Exum,PG
129,Kenneth Faried,PF
130,Jordan Farmar,PG
131,Derrick Favors,PF
132,Kay Felder,PG
133,Cristiano Felicio,C
134,Raymond Felton,PG
135,Yogi Ferrell,PG
138,Dorian Finney-Smith,PF
139,Bryn Forbes,SG
140,Evan Fournier,SG
141,Randy Foye,SG
142,Tim Frazier,PG
143,Channing Frye,C
144,Danilo Gallinari,SF
145,Langston Galloway,PG
146,Marc Gasol,C
147,Pau Gasol,C
148,Rudy Gay,SF
149,Michael Gbinije,SG
150,Alonzo Gee,SF
151,Paul George,SF
152,Jonathan Gibson,PG
153,Taj Gibson,PF
154,Manu Ginobili,SG
155,Rudy Gobert,C
156,Archie Goodwin,SG
157,Aaron Gordon,SF
158,Eric Gordon,SG
159,Marcin Gortat,C
160,Treveon Graham,SG
161,Jerami Grant,SF
164,Jerian Grant,PG
165,Danny Green,SG
166,Draymond Green,PF
167,Gerald Green,SG
168,JaMychal Green,PF
169,Jeff Green,SF
170,Blake Griffin,PF
171,Justin Hamilton,C
172,A.J. Hammons,C
173,Tim Hardaway,SG
174,James Harden,PG
175,Maurice Harkless,SF
176,Montrezl Harrell,PF
177,Devin Harris,PG
178,Gary Harris,SG
179,Joe Harris,SG
180,Tobias Harris,PF
181,Aaron Harrison,SG
182,Andrew Harrison,SG
183,Udonis Haslem,C
184,Spencer Hawes,PF
185,Gordon Hayward,SF
186,Gerald Henderson,SG
187,John Henson,C
188,Juan Hernangomez,PF
189,Willy Hernangomez,C
190,Mario Hezonja,SF
191,Roy Hibbert,C
192,Buddy Hield,SG
193,Nene Hilario,C
194,George Hill,PG
195,Jordan Hill,C
196,Solomon Hill,SF
197,Darrun Hilliard,SG
198,Jrue Holiday,PG
199,Justin Holiday,SG
200,Rondae Hollis-Jefferson,SF
201,Richaun Holmes,C
202,Rodney Hood,SG
203,Al Horford,C
204,Danuel House,SG
205,Dwight Howard,C
206,Marcelo Huertas,PG
207,Josh Huestis,PF
208,Kris Humphries,PF
209,R.J. Hunter,SG
210,Serge Ibaka,PF
211,Andre Iguodala,SF
212,Ersan Ilyasova,PF
215,Joe Ingles,SF
216,Brandon Ingram,SF
217,Kyrie Irving,PG
218,Demetrius Jackson,PG
219,Pierre Jackson,PG
220,Reggie Jackson,PG
221,LeBron James,SF
222,Al Jefferson,C
223,Richard Jefferson,SF
224,John Jenkins,SG
225,Brandon Jennings,PG
226,Jonas Jerebko,PF
227,Amir Johnson,PF
228,James Johnson,PF
229,Joe Johnson,SF
230,Stanley Johnson,SF
231,Tyler Johnson,PG
232,Wesley Johnson,SF
233,Nikola Jokic,C
234,Damian Jones,C
235,Derrick Jones,SF
236,James Jones,SF
237,Terrence Jones,PF
238,Tyus Jones,PG
239,DeAndre Jordan,C
240,Cory Joseph,SG
241,Frank Kaminsky,C
242,Enes Kanter,C
243,Ryan Kelly,PF
244,Michael Kidd-Gilchrist,SF
245,Sean Kilpatrick,SG
246,Brandon Knight,SG
247,Kyle Korver,SG
250,Kosta Koufos,C
251,Mindaugas Kuzminskas,SF
252,Skal Labissiere,PF
253,Jeremy Lamb,SG
254,Nicolas Laprovittola,PG
255,Joffrey Lauvergne,C
256,Zach LaVine,SG
257,Ty Lawson,PG
258,Jake Layman,SF
259,Courtney Lee,SG
260,David Lee,PF
261,Alex Len,C
262,Kawhi Leonard,SF
263,Meyers Leonard,PF
264,Jon Leuer,PF
265,Caris LeVert,SF
266,DeAndre Liggins,SG
267,Damian Lillard,PG
268,Jeremy Lin,PG
269,Shaun Livingston,PG
270,Kevon Looney,C
271,Brook Lopez,C
272,Robin Lopez,C
273,Kevin Love,PF
274,Kyle Lowry,PG
275,John Lucas III,PG
276,Timothe Luwawu-Cabarrot,SF
277,Trey Lyles,PF
278,Shelvin Mack,PG
279,Ian Mahinmi,C
280,Thon Maker,PF
281,Boban Marjanovic,C
282,Jarell Martin,PF
283,Wesley Matthews,SG
284,Luc Mbah a Moute,PF
285,James Michael McAdoo,PF
286,Patrick McCaw,SG
287,Sheldon McClellan,SG
288,C.J. McCollum,SG
289,T.J. McConnell,PG
290,Chris McCullough,PF
291,K.J. McDaniels,SF
292,Doug McDermott,SF
293,JaVale McGee,C
294,Rodney McGruder,SG
295,Ben McLemore,SG
296,Jordan McRae,SG
297,Josh McRoberts,PF
298,Jodie Meeks,SG
299,Salah Mejri,C
300,Jordan Mickey,PF
301,Khris Middleton,SG
302,C.J. Miles,SF
303,Mike Miller,SF
304,Patty Mills,PG
305,Paul Millsap,PF
306,Nikola Mirotic,PF
307,Greg Monroe,C
308,E'Twaun Moore,SG
309,Marcus Morris,SF
310,Markieff Morris,PF
311,Anthony Morrow,SG
312,Donatas Motiejunas,PF
313,Timofey Mozgov,C
314,Emmanuel Mudiay,PG
315,Shabazz Muhammad,SF
316,Dejounte Murray,PG
317,Jamal Murray,SG
318,Mike Muscala,C
319,Larry Nance Jr.,PF
320,Shabazz Napier,PG
321,Maurice Ndour,PF
322,Gary Neal,SG
323,Jameer Nelson,PG
324,Raul Neto,PG
325,Georges Niang,PF
326,Andrew Nicholson,PF
327,Joakim Noah,C
328,Nerlens Noel,C
329,Lucas Nogueira,C
330,Steve Novak,PF
331,Dirk Nowitzki,PF
332,Jusuf Nurkic,C
333,Johnny O'Bryant,PF
334,Kyle O'Quinn,PF
335,Daniel Ochefu,C
336,Jahlil Okafor,C
337,Victor Oladipo,SG
338,Kelly Olynyk,C
339,Arinze Onuaku,C
340,Chinanu Onuaku,C
341,Kelly Oubre,SF
342,Zaza Pachulia,C
343,Georgios Papagiannis,C
344,Jabari Parker,PF
345,Tony Parker,PG
346,Chandler Parsons,SF
347,Lamar Patterson,SG
348,Patrick Patterson,PF
349,Chris Paul,PG
350,Adreian Payne,PF
351,Cameron Payne,PG
352,Elfrid Payton,PG
353,Paul Pierce,SF
354,Marshall Plumlee,C
355,Mason Plumlee,C
356,Miles Plumlee,C
359,Jakob Poeltl,C
360,Otto Porter,SF
