Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
Alex Abrines,42,0,14,1.8,4.5,0.396,1.2,3.2,0.378,0.5,1.2,0.442,0.532,0.8,0.9,0.865,0.3,0.8,1.1,0.5,0.4,0.1,0.5,1.5,5.5,20.6,0.278,0.107,0.053,0.048,0.07,0.722,0.5,0.5,0.111,0.538,0.609,0.016,3,0.961,0.222,0.367,1,0,9.9,0.568,0.722,0.198,2.3,6.5,4.4,5,1.5,0.7,10.2,16.4,0.6,0.5,1.1,0.088,0,-2.6,-3.2,-0.2
Quincy Acy,237,51,14.9,1.7,3.5,0.495,0.2,0.7,0.359,1.5,2.8,0.527,0.529,0.9,1.2,0.757,1.1,2.4,3.5,0.6,0.4,0.4,0.6,1.9,4.6,10.9,0.811,0.393,0.121,0.08,0.215,0.189,0.662,0.41,0.439,0.382,0.72,0.159,123,0.982,0.404,0.381,1,0,12.8,0.572,0.189,0.334,8.2,18.3,13.1,6,1.4,2.2,13,13.8,4.4,2.8,7.3,0.099,0,0,-1.5,0.5
Steven Adams,282,218,23.2,2.9,5.2,0.568,0,0,0,2.9,5.1,0.57,0.568,1.4,2.5,0.582,2.6,3.8,6.3,0.8,0.6,1,1.3,2.7,7.3,3.1,0.997,0.635,0.325,0.034,0.003,0.003,0.649,0.441,0.38,0.2,0.692,0.224,278,0,0,0,2,0,14.7,0.585,0.003,0.479,12.6,17.1,14.9,5.1,1.3,3.4,16.8,13.9,9.3,8.7,18,0.132,0,1.6,0.9,4.8
Arron Afflalo,693,519,28.4,4.1,9.2,0.45,1.2,3,0.385,3,6.1,0.483,0.514,1.9,2.3,0.823,0.5,2.5,3,1.9,0.5,0.2,1.2,2,11.3,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.612,0.41,0.465,0.423,0.549,0.004,24,0.946,0.44,0.428,5,0,12.2,0.557,0.331,0.255,1.9,10,6,10.8,0.9,0.5,10.4,18,23.4,9.3,32.7,0.08,0,-1.3,-1,5.2
Alexis Ajinca,275,71,13.2,2.2,4.3,0.5,0,0.1,0.293,2.1,4.2,0.508,0.505,0.8,1.1,0.803,1.2,2.7,3.9,0.5,0.3,0.6,0.9,2.3,5.2,9.2,0.966,0.337,0.239,0.147,0.242,0.034,0.643,0.446,0.429,0.431,0.7,0.118,124,1,0.049,1,0,0,14.8,0.545,0.034,0.243,10,23.6,16.7,6.2,1.3,3.8,15.1,19.4,2.7,4.2,6.8,0.091,0,0.4,-2.5,-0.4
Cole Aldrich,304,23,10.7,1.4,2.6,0.531,0,0,0,1.4,2.6,0.531,0.531,0.6,0.8,0.747,1.1,2.5,3.6,0.6,0.4,0.8,0.6,1.6,3.4,3.7,1,0.469,0.493,0.03,0.003,0,0.684,0.403,0.292,0,0.69,0.133,94,0,0,0,0,0,17,0.568,0,0.298,11.3,27.2,19.2,8.8,2.1,5.7,17.7,15.2,3.9,5.7,9.6,0.141,0,3.5,1.3,2.7
LaMarcus Aldridge,769,728,34.8,7.8,16,0.487,0.1,0.4,0.281,7.7,15.6,0.492,0.49,3.5,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1,1.6,2.5,19.1,11.1,0.978,0.242,0.204,0.199,0.333,0.022,0.7,0.439,0.41,0.422,0.574,0.065,727,0.909,0.347,0.326,16,0,20.4,0.535,0.022,0.273,8.8,19.1,14,10.1,1.2,2.3,8.1,25.7,52.8,31.8,84.5,0.152,0,0.5,1.3,21.9
Lavoy Allen,367,85,17.9,2.2,4.6,0.469,0,0,0.133,2.1,4.6,0.472,0.469,0.5,0.7,0.683,1.8,2.9,4.7,1,0.3,0.6,0.7,1.9,4.8,9.6,0.991,0.301,0.244,0.135,0.311,0.009,0.656,0.471,0.325,0.358,0.726,0.044,68,1,0.067,0,0,0,12.3,0.489,0.009,0.155,10.9,18.3,14.5,8.4,0.9,2.4,11.9,14,4.9,7.8,12.8,0.093,0,1.2,-1.4,1
Tony Allen,774,420,22.2,3.2,6.7,0.476,0.1,0.5,0.276,3,6.1,0.493,0.487,1.7,2.4,0.713,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.2,6.9,0.921,0.572,0.16,0.052,0.136,0.079,0.601,0.308,0.315,0.325,0.568,0.059,289,0.973,0.545,0.327,8,0,14.3,0.531,0.079,0.359,6.4,12.1,9.3,9.6,3.4,1.6,15.2,18.8,9.1,28.7,37.8,0.106,0,2.2,1.1,13.5
Al-Farouq Aminu,494,279,23.8,2.7,6.2,0.425,0.5,1.7,0.317,2.1,4.5,0.466,0.469,1.2,1.7,0.729,1.4,4.2,5.6,1.2,1,0.6,1.3,1.9,7.1,11.3,0.723,0.366,0.173,0.052,0.132,0.277,0.612,0.323,0.327,0.307,0.622,0.1,280,0.959,0.415,0.342,3,0,12.3,0.507,0.277,0.272,6.7,20.2,13.4,7.9,2.1,2,15.3,15.6,3.3,12.7,16,0.065,0,1.4,-0.3,4.9
